# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 0 --method outpost --tag C_nogate --rotations 9 --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(9)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4817 PR 0.1469 | unseen ROC 0.4856 PR 0.1344 | valAUC 0.5181 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4783 PR 0.1466 | unseen ROC 0.4834 PR 0.1347 | valAUC 0.5376 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4658 PR 0.1423 | unseen ROC 0.4707 PR 0.1305 | valAUC 0.4816 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4608 PR 0.1406 | unseen ROC 0.4652 PR 0.1288 | valAUC 0.4911 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4663 PR 0.1424 | unseen ROC 0.4701 PR 0.1304 | valAUC 0.4902 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4654 PR 0.1417 | unseen ROC 0.4693 PR 0.1297 | valAUC 0.4937 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4696 PR 0.1439 | unseen ROC 0.4737 PR 0.1318 | valAUC 0.5296 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4777 PR 0.1465 | unseen ROC 0.4805 PR 0.1337 | valAUC 0.5460 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4839 PR 0.1480 | unseen ROC 0.4861 PR 0.1351 | valAUC 0.5233 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4982 PR 0.1522 | unseen ROC 0.4989 PR 0.1385 | valAUC 0.5489 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5128 PR 0.1579 | unseen ROC 0.5100 PR 0.1425 | valAUC 0.6014 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5345 PR 0.1651 | unseen ROC 0.5281 PR 0.1475 | valAUC 0.6569 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5410 PR 0.1672 | unseen ROC 0.5317 PR 0.1480 | valAUC 0.6897 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5244 PR 0.1638 | unseen ROC 0.5140 PR 0.1432 | valAUC 0.6652 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.4970 PR 0.1575 | unseen ROC 0.4885 PR 0.1373 | valAUC 0.5905 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.4653 PR 0.1430 | unseen ROC 0.4600 PR 0.1262 | valAUC 0.5914 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.4608 PR 0.1419 | unseen ROC 0.4568 PR 0.1257 | valAUC 0.5672 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.4542 PR 0.1381 | unseen ROC 0.4511 PR 0.1236 | valAUC 0.5770 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.4481 PR 0.1364 | unseen ROC 0.4455 PR 0.1224 | valAUC 0.5055 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.4469 PR 0.1351 | unseen ROC 0.4446 PR 0.1214 | valAUC 0.5178 | tau+ 0.500
