# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 2 --method outpost --tag C_nogate --rotations 14 --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(14)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7680 PR 0.4765 | unseen ROC 0.7714 PR 0.4489 | valAUC 0.7014 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7772 PR 0.5086 | unseen ROC 0.7765 PR 0.4774 | valAUC 0.7272 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7761 PR 0.5111 | unseen ROC 0.7750 PR 0.4792 | valAUC 0.7489 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7825 PR 0.5188 | unseen ROC 0.7770 PR 0.4788 | valAUC 0.7546 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7875 PR 0.5308 | unseen ROC 0.7782 PR 0.4838 | valAUC 0.7894 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.8098 PR 0.5767 | unseen ROC 0.7941 PR 0.5136 | valAUC 0.8730 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.8302 PR 0.6328 | unseen ROC 0.8091 PR 0.5496 | valAUC 0.8979 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.8488 PR 0.6872 | unseen ROC 0.8239 PR 0.5864 | valAUC 0.9449 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8630 PR 0.7231 | unseen ROC 0.8375 PR 0.6159 | valAUC 0.9835 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8725 PR 0.7442 | unseen ROC 0.8466 PR 0.6322 | valAUC 0.9818 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8809 PR 0.7591 | unseen ROC 0.8563 PR 0.6479 | valAUC 0.9917 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8856 PR 0.7660 | unseen ROC 0.8611 PR 0.6536 | valAUC 0.9931 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8884 PR 0.7710 | unseen ROC 0.8640 PR 0.6573 | valAUC 0.9908 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8925 PR 0.7749 | unseen ROC 0.8691 PR 0.6616 | valAUC 0.9924 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8915 PR 0.7739 | unseen ROC 0.8679 PR 0.6566 | valAUC 0.9941 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8944 PR 0.7797 | unseen ROC 0.8712 PR 0.6677 | valAUC 0.9908 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8941 PR 0.7781 | unseen ROC 0.8707 PR 0.6632 | valAUC 0.9948 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8960 PR 0.7821 | unseen ROC 0.8728 PR 0.6685 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8962 PR 0.7833 | unseen ROC 0.8732 PR 0.6719 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8953 PR 0.7828 | unseen ROC 0.8722 PR 0.6715 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8974 PR 0.7887 | unseen ROC 0.8744 PR 0.6796 | valAUC 0.9962 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.9025 PR 0.7952 | unseen ROC 0.8807 PR 0.6891 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.9035 PR 0.7955 | unseen ROC 0.8818 PR 0.6898 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.9062 PR 0.8010 | unseen ROC 0.8853 PR 0.6975 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.9091 PR 0.8052 | unseen ROC 0.8887 PR 0.7049 | valAUC 0.9979 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.9125 PR 0.8132 | unseen ROC 0.8924 PR 0.7154 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.9157 PR 0.8175 | unseen ROC 0.8967 PR 0.7224 | valAUC 0.9981 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.9193 PR 0.8229 | unseen ROC 0.9008 PR 0.7295 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.9234 PR 0.8323 | unseen ROC 0.9059 PR 0.7433 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.9299 PR 0.8419 | unseen ROC 0.9137 PR 0.7549 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.9344 PR 0.8480 | unseen ROC 0.9196 PR 0.7615 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.9383 PR 0.8526 | unseen ROC 0.9240 PR 0.7669 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.9448 PR 0.8604 | unseen ROC 0.9321 PR 0.7740 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.9506 PR 0.8727 | unseen ROC 0.9391 PR 0.7944 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.9547 PR 0.8799 | unseen ROC 0.9443 PR 0.8034 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.9575 PR 0.8858 | unseen ROC 0.9479 PR 0.8151 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.9609 PR 0.8951 | unseen ROC 0.9520 PR 0.8295 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.9640 PR 0.9040 | unseen ROC 0.9559 PR 0.8461 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.9656 PR 0.9110 | unseen ROC 0.9579 PR 0.8590 | valAUC 0.9955 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.9683 PR 0.9135 | unseen ROC 0.9613 PR 0.8597 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.9702 PR 0.9165 | unseen ROC 0.9638 PR 0.8647 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.9713 PR 0.9194 | unseen ROC 0.9651 PR 0.8712 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.9718 PR 0.9224 | unseen ROC 0.9657 PR 0.8761 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.9735 PR 0.9312 | unseen ROC 0.9675 PR 0.8907 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.9736 PR 0.9293 | unseen ROC 0.9680 PR 0.8903 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.9748 PR 0.9340 | unseen ROC 0.9691 PR 0.8969 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.9739 PR 0.9347 | unseen ROC 0.9680 PR 0.8980 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.9750 PR 0.9353 | unseen ROC 0.9695 PR 0.9000 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.9747 PR 0.9380 | unseen ROC 0.9693 PR 0.9045 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.9753 PR 0.9385 | unseen ROC 0.9702 PR 0.9053 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.9764 PR 0.9380 | unseen ROC 0.9712 PR 0.9054 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.9763 PR 0.9397 | unseen ROC 0.9713 PR 0.9079 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.9771 PR 0.9402 | unseen ROC 0.9722 PR 0.9082 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.9791 PR 0.9436 | unseen ROC 0.9747 PR 0.9138 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.9779 PR 0.9432 | unseen ROC 0.9732 PR 0.9136 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.9786 PR 0.9450 | unseen ROC 0.9741 PR 0.9166 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.9795 PR 0.9453 | unseen ROC 0.9752 PR 0.9167 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.9796 PR 0.9442 | unseen ROC 0.9756 PR 0.9168 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.9794 PR 0.9459 | unseen ROC 0.9752 PR 0.9186 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.9786 PR 0.9459 | unseen ROC 0.9743 PR 0.9195 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.9795 PR 0.9454 | unseen ROC 0.9754 PR 0.9181 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.9806 PR 0.9477 | unseen ROC 0.9769 PR 0.9225 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.9804 PR 0.9464 | unseen ROC 0.9764 PR 0.9202 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.9806 PR 0.9441 | unseen ROC 0.9768 PR 0.9172 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.9808 PR 0.9443 | unseen ROC 0.9771 PR 0.9176 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.9809 PR 0.9450 | unseen ROC 0.9772 PR 0.9181 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.9806 PR 0.9445 | unseen ROC 0.9771 PR 0.9186 | valAUC 0.9957 | tau+ 0.500
[OUTPOST-v4] epoch 67: test-all ROC 0.9807 PR 0.9462 | unseen ROC 0.9769 PR 0.9205 | valAUC 0.9955 | tau+ 0.500
[OUTPOST-v4] epoch 68: test-all ROC 0.9806 PR 0.9481 | unseen ROC 0.9769 PR 0.9240 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 69: test-all ROC 0.9807 PR 0.9458 | unseen ROC 0.9769 PR 0.9206 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 70: test-all ROC 0.9802 PR 0.9448 | unseen ROC 0.9764 PR 0.9186 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 71: test-all ROC 0.9802 PR 0.9453 | unseen ROC 0.9763 PR 0.9189 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 72: test-all ROC 0.9801 PR 0.9443 | unseen ROC 0.9763 PR 0.9180 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 73: test-all ROC 0.9800 PR 0.9414 | unseen ROC 0.9762 PR 0.9126 | valAUC 0.9979 | tau+ 0.500
[OUTPOST-v4] epoch 74: test-all ROC 0.9794 PR 0.9385 | unseen ROC 0.9753 PR 0.9084 | valAUC 0.9991 | tau+ 0.587
[OUTPOST-v4] epoch 75: test-all ROC 0.9797 PR 0.9397 | unseen ROC 0.9759 PR 0.9102 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 76: test-all ROC 0.9789 PR 0.9417 | unseen ROC 0.9749 PR 0.9142 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 77: test-all ROC 0.9795 PR 0.9430 | unseen ROC 0.9755 PR 0.9157 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 78: test-all ROC 0.9798 PR 0.9438 | unseen ROC 0.9758 PR 0.9169 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 79: test-all ROC 0.9795 PR 0.9423 | unseen ROC 0.9754 PR 0.9145 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 80: test-all ROC 0.9793 PR 0.9405 | unseen ROC 0.9752 PR 0.9125 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 81: test-all ROC 0.9790 PR 0.9391 | unseen ROC 0.9750 PR 0.9097 | valAUC 0.9991 | tau+ 0.520
[OUTPOST-v4] epoch 82: test-all ROC 0.9787 PR 0.9364 | unseen ROC 0.9747 PR 0.9060 | valAUC 0.9983 | tau+ 0.517
[OUTPOST-v4] epoch 83: test-all ROC 0.9797 PR 0.9404 | unseen ROC 0.9759 PR 0.9113 | valAUC 0.9929 | tau+ 0.500
[OUTPOST-v4] epoch 84: test-all ROC 0.9786 PR 0.9370 | unseen ROC 0.9746 PR 0.9072 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 85: test-all ROC 0.9796 PR 0.9436 | unseen ROC 0.9757 PR 0.9171 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 86: test-all ROC 0.9792 PR 0.9406 | unseen ROC 0.9754 PR 0.9133 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 87: test-all ROC 0.9783 PR 0.9401 | unseen ROC 0.9740 PR 0.9114 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 88: test-all ROC 0.9803 PR 0.9417 | unseen ROC 0.9766 PR 0.9138 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 89: test-all ROC 0.9789 PR 0.9375 | unseen ROC 0.9747 PR 0.9075 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 90: test-all ROC 0.9789 PR 0.9337 | unseen ROC 0.9750 PR 0.9018 | valAUC 0.9991 | tau+ 0.526
[OUTPOST-v4] epoch 91: test-all ROC 0.9784 PR 0.9345 | unseen ROC 0.9744 PR 0.9025 | valAUC 0.9993 | tau+ 0.543
[OUTPOST-v4] epoch 92: test-all ROC 0.9777 PR 0.9314 | unseen ROC 0.9736 PR 0.8984 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 93: test-all ROC 0.9781 PR 0.9345 | unseen ROC 0.9739 PR 0.9030 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 94: test-all ROC 0.9791 PR 0.9377 | unseen ROC 0.9752 PR 0.9078 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 95: test-all ROC 0.9784 PR 0.9378 | unseen ROC 0.9743 PR 0.9083 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 96: test-all ROC 0.9791 PR 0.9389 | unseen ROC 0.9751 PR 0.9101 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 97: test-all ROC 0.9795 PR 0.9417 | unseen ROC 0.9756 PR 0.9150 | valAUC 0.9986 | tau+ 0.500
