# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 0 --method outpost --tag C_nopl --rotations 3 --set use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(3)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7846 PR 0.5494 | unseen ROC 0.7696 PR 0.4854 | valAUC 0.9217 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7726 PR 0.5290 | unseen ROC 0.7567 PR 0.4546 | valAUC 0.9251 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7634 PR 0.5269 | unseen ROC 0.7461 PR 0.4520 | valAUC 0.9440 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7643 PR 0.5362 | unseen ROC 0.7468 PR 0.4630 | valAUC 0.9319 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7620 PR 0.5387 | unseen ROC 0.7449 PR 0.4663 | valAUC 0.9381 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7735 PR 0.5641 | unseen ROC 0.7565 PR 0.4975 | valAUC 0.9428 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7828 PR 0.5900 | unseen ROC 0.7665 PR 0.5306 | valAUC 0.9615 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7945 PR 0.6159 | unseen ROC 0.7790 PR 0.5611 | valAUC 0.9674 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8052 PR 0.6375 | unseen ROC 0.7900 PR 0.5846 | valAUC 0.9631 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8129 PR 0.6538 | unseen ROC 0.7987 PR 0.6048 | valAUC 0.9738 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8211 PR 0.6686 | unseen ROC 0.8070 PR 0.6218 | valAUC 0.9832 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8291 PR 0.6835 | unseen ROC 0.8155 PR 0.6379 | valAUC 0.9823 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8372 PR 0.6976 | unseen ROC 0.8241 PR 0.6535 | valAUC 0.9785 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8428 PR 0.7092 | unseen ROC 0.8301 PR 0.6673 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8480 PR 0.7168 | unseen ROC 0.8356 PR 0.6758 | valAUC 0.9922 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8544 PR 0.7304 | unseen ROC 0.8423 PR 0.6909 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8535 PR 0.7320 | unseen ROC 0.8417 PR 0.6939 | valAUC 0.9851 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8580 PR 0.7394 | unseen ROC 0.8464 PR 0.7018 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8600 PR 0.7432 | unseen ROC 0.8484 PR 0.7057 | valAUC 0.9922 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8633 PR 0.7496 | unseen ROC 0.8519 PR 0.7129 | valAUC 0.9936 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8656 PR 0.7547 | unseen ROC 0.8546 PR 0.7192 | valAUC 0.9920 | tau+ 0.500
