# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 3 --method outpost --tag L_lean --rotations 3 --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(3)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4755 PR 0.1444 | unseen ROC 0.4636 PR 0.1118 | valAUC 0.4871 | tau+ 0.524
[OUTPOST-v4] epoch 1: test-all ROC 0.4597 PR 0.1403 | unseen ROC 0.4466 PR 0.1078 | valAUC 0.4549 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4507 PR 0.1376 | unseen ROC 0.4398 PR 0.1060 | valAUC 0.4224 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4537 PR 0.1380 | unseen ROC 0.4417 PR 0.1061 | valAUC 0.4523 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4538 PR 0.1388 | unseen ROC 0.4397 PR 0.1063 | valAUC 0.4503 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4559 PR 0.1390 | unseen ROC 0.4417 PR 0.1064 | valAUC 0.4445 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4620 PR 0.1409 | unseen ROC 0.4468 PR 0.1075 | valAUC 0.4727 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4648 PR 0.1415 | unseen ROC 0.4475 PR 0.1076 | valAUC 0.4618 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4708 PR 0.1436 | unseen ROC 0.4534 PR 0.1092 | valAUC 0.4784 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4736 PR 0.1443 | unseen ROC 0.4571 PR 0.1100 | valAUC 0.4807 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4831 PR 0.1479 | unseen ROC 0.4641 PR 0.1123 | valAUC 0.5083 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4905 PR 0.1511 | unseen ROC 0.4710 PR 0.1144 | valAUC 0.5055 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5031 PR 0.1561 | unseen ROC 0.4813 PR 0.1178 | valAUC 0.5287 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5141 PR 0.1603 | unseen ROC 0.4886 PR 0.1197 | valAUC 0.5417 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5269 PR 0.1660 | unseen ROC 0.4983 PR 0.1230 | valAUC 0.5563 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5368 PR 0.1716 | unseen ROC 0.5049 PR 0.1249 | valAUC 0.5894 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5418 PR 0.1750 | unseen ROC 0.5091 PR 0.1271 | valAUC 0.6069 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5452 PR 0.1760 | unseen ROC 0.5123 PR 0.1278 | valAUC 0.6043 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5519 PR 0.1800 | unseen ROC 0.5163 PR 0.1296 | valAUC 0.6537 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5600 PR 0.1860 | unseen ROC 0.5230 PR 0.1328 | valAUC 0.6333 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5687 PR 0.1914 | unseen ROC 0.5321 PR 0.1368 | valAUC 0.6655 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5798 PR 0.2005 | unseen ROC 0.5388 PR 0.1405 | valAUC 0.6503 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5871 PR 0.2056 | unseen ROC 0.5450 PR 0.1437 | valAUC 0.7006 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5963 PR 0.2169 | unseen ROC 0.5516 PR 0.1493 | valAUC 0.7239 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6088 PR 0.2282 | unseen ROC 0.5617 PR 0.1557 | valAUC 0.7572 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6139 PR 0.2336 | unseen ROC 0.5671 PR 0.1588 | valAUC 0.7509 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6182 PR 0.2379 | unseen ROC 0.5709 PR 0.1623 | valAUC 0.7580 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6261 PR 0.2475 | unseen ROC 0.5772 PR 0.1673 | valAUC 0.7839 | tau+ 0.500
