# gpu=3 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset amazon --seed 1 --method nsreg --tag E400_nsreg --epochs 400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[amazon] n_epochs=400 eval_every=1 input_dim=25 wd=0.0 lr=0.001
Normal classes: [0] in amazon
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 21750  num train neg edges: 22920
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=2.2189, clf_loss=1.5123, lbl_loss=0.7066
Epoch  1 loss=1.3243, clf_loss=0.6353, lbl_loss=0.6889
Epoch  2 loss=1.5145, clf_loss=0.8341, lbl_loss=0.6804
Epoch  3 loss=1.5844, clf_loss=0.9144, lbl_loss=0.6699
Epoch  4 loss=1.7044, clf_loss=1.0244, lbl_loss=0.6800
Epoch  5 loss=1.5796, clf_loss=0.9192, lbl_loss=0.6603
Epoch  6 loss=1.5597, clf_loss=0.8970, lbl_loss=0.6627
Epoch  7 loss=1.4215, clf_loss=0.7484, lbl_loss=0.6731
Epoch  8 loss=1.3292, clf_loss=0.6471, lbl_loss=0.6821
Epoch  9 loss=1.2196, clf_loss=0.5551, lbl_loss=0.6644
Epoch 10 loss=1.0643, clf_loss=0.3847, lbl_loss=0.6796
Epoch 11 loss=0.9802, clf_loss=0.3127, lbl_loss=0.6675
Epoch 12 loss=1.0051, clf_loss=0.3432, lbl_loss=0.6619
Epoch 13 loss=1.2190, clf_loss=0.5375, lbl_loss=0.6815
Epoch 14 loss=1.0755, clf_loss=0.4110, lbl_loss=0.6645
Epoch 15 loss=0.9686, clf_loss=0.3019, lbl_loss=0.6667
Epoch 16 loss=0.9929, clf_loss=0.3165, lbl_loss=0.6764
Epoch 17 loss=0.9931, clf_loss=0.3322, lbl_loss=0.6610
Epoch 18 loss=1.0126, clf_loss=0.3488, lbl_loss=0.6638
Epoch 19 loss=1.0690, clf_loss=0.3948, lbl_loss=0.6741
Epoch 20 loss=1.0410, clf_loss=0.3794, lbl_loss=0.6616
Epoch 21 loss=1.0690, clf_loss=0.3878, lbl_loss=0.6812
Epoch 22 loss=1.0385, clf_loss=0.3660, lbl_loss=0.6725
Epoch 23 loss=0.9960, clf_loss=0.3336, lbl_loss=0.6623
Epoch 24 loss=1.0039, clf_loss=0.3362, lbl_loss=0.6678
Epoch 25 loss=0.9830, clf_loss=0.3171, lbl_loss=0.6658
Epoch 26 loss=0.9560, clf_loss=0.2856, lbl_loss=0.6703
Epoch 27 loss=0.9508, clf_loss=0.2905, lbl_loss=0.6603
Epoch 28 loss=0.9641, clf_loss=0.2990, lbl_loss=0.6651
Epoch 29 loss=0.9981, clf_loss=0.3209, lbl_loss=0.6772
Epoch 30 loss=0.9822, clf_loss=0.3213, lbl_loss=0.6609
Epoch 31 loss=0.9902, clf_loss=0.3208, lbl_loss=0.6695
Epoch 32 loss=0.9823, clf_loss=0.3215, lbl_loss=0.6608
Epoch 33 loss=0.9511, clf_loss=0.2863, lbl_loss=0.6648
