# gpu=3 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset computers --seed 7 --method nsreg --tag E400_nsreg --epochs 400 --rotations 3
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] NSReg, rotations [np.int64(3)] of [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] n_epochs=400 eval_every=1 input_dim=767 wd=0.0 lr=0.001
Normal classes: [1, 2, 4, 7, 8] in computers
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 1062  num train neg edges: 3040
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.3911, clf_loss=0.6660, lbl_loss=0.7250
Epoch  1 loss=1.2692, clf_loss=0.5719, lbl_loss=0.6972
Epoch  2 loss=1.1763, clf_loss=0.4894, lbl_loss=0.6869
Epoch  3 loss=1.0779, clf_loss=0.4153, lbl_loss=0.6627
Epoch  4 loss=1.0228, clf_loss=0.3498, lbl_loss=0.6730
Epoch  5 loss=0.9992, clf_loss=0.3225, lbl_loss=0.6767
Epoch  6 loss=1.0119, clf_loss=0.3341, lbl_loss=0.6778
Epoch  7 loss=1.0236, clf_loss=0.3452, lbl_loss=0.6784
Epoch  8 loss=1.0234, clf_loss=0.3611, lbl_loss=0.6623
Epoch  9 loss=1.0351, clf_loss=0.3634, lbl_loss=0.6718
Epoch 10 loss=1.0234, clf_loss=0.3394, lbl_loss=0.6840
Epoch 11 loss=0.9923, clf_loss=0.3348, lbl_loss=0.6574
Epoch 12 loss=0.9908, clf_loss=0.3133, lbl_loss=0.6774
Epoch 13 loss=0.9772, clf_loss=0.3134, lbl_loss=0.6637
Epoch 14 loss=0.9871, clf_loss=0.3081, lbl_loss=0.6790
Epoch 15 loss=0.9910, clf_loss=0.3115, lbl_loss=0.6795
Epoch 16 loss=0.9855, clf_loss=0.3149, lbl_loss=0.6706
Epoch 17 loss=0.9948, clf_loss=0.3178, lbl_loss=0.6770
Epoch 18 loss=0.9840, clf_loss=0.3132, lbl_loss=0.6708
Epoch 19 loss=0.9856, clf_loss=0.3115, lbl_loss=0.6742
Epoch 20 loss=0.9826, clf_loss=0.3060, lbl_loss=0.6766
Epoch 21 loss=0.9823, clf_loss=0.3030, lbl_loss=0.6794
Epoch 22 loss=0.9819, clf_loss=0.3053, lbl_loss=0.6766
Epoch 23 loss=0.9679, clf_loss=0.2951, lbl_loss=0.6728
Epoch 24 loss=0.9650, clf_loss=0.2953, lbl_loss=0.6697
Epoch 25 loss=0.9687, clf_loss=0.2965, lbl_loss=0.6722
Epoch 26 loss=0.9530, clf_loss=0.2933, lbl_loss=0.6597
Epoch 27 loss=0.9536, clf_loss=0.2927, lbl_loss=0.6610
Epoch 28 loss=0.9732, clf_loss=0.2960, lbl_loss=0.6772
Epoch 29 loss=0.9582, clf_loss=0.2911, lbl_loss=0.6671
Epoch 30 loss=0.9554, clf_loss=0.2895, lbl_loss=0.6658
Epoch 31 loss=0.9616, clf_loss=0.2823, lbl_loss=0.6794
Epoch 32 loss=0.9541, clf_loss=0.2841, lbl_loss=0.6699
Epoch 33 loss=0.9712, clf_loss=0.2833, lbl_loss=0.6879
Epoch 34 loss=0.9575, clf_loss=0.2838, lbl_loss=0.6737
Epoch 35 loss=0.9472, clf_loss=0.2816, lbl_loss=0.6656
Epoch 36 loss=0.9501, clf_loss=0.2785, lbl_loss=0.6716
Epoch 37 loss=0.9389, clf_loss=0.2795, lbl_loss=0.6594
Epoch 38 loss=0.9446, clf_loss=0.2743, lbl_loss=0.6702
Epoch 39 loss=0.9355, clf_loss=0.2765, lbl_loss=0.6590
Epoch 40 loss=0.9454, clf_loss=0.2749, lbl_loss=0.6704
Epoch 41 loss=0.9493, clf_loss=0.2761, lbl_loss=0.6732
Epoch 42 loss=0.9445, clf_loss=0.2685, lbl_loss=0.6760
Epoch 43 loss=0.9324, clf_loss=0.2665, lbl_loss=0.6659
Epoch 44 loss=0.9423, clf_loss=0.2635, lbl_loss=0.6787
Epoch 45 loss=0.9399, clf_loss=0.2647, lbl_loss=0.6752
Epoch 46 loss=0.9365, clf_loss=0.2652, lbl_loss=0.6714
Epoch 47 loss=0.9313, clf_loss=0.2577, lbl_loss=0.6736
Epoch 48 loss=0.9310, clf_loss=0.2590, lbl_loss=0.6721
Epoch 49 loss=0.9233, clf_loss=0.2558, lbl_loss=0.6675
Epoch 50 loss=0.9241, clf_loss=0.2533, lbl_loss=0.6707
Epoch 51 loss=0.9269, clf_loss=0.2549, lbl_loss=0.6719
Epoch 52 loss=0.9229, clf_loss=0.2526, lbl_loss=0.6703
Epoch 53 loss=0.9204, clf_loss=0.2510, lbl_loss=0.6694
Epoch 54 loss=0.9050, clf_loss=0.2469, lbl_loss=0.6581
Epoch 55 loss=0.9172, clf_loss=0.2438, lbl_loss=0.6734
Epoch 56 loss=0.9136, clf_loss=0.2442, lbl_loss=0.6693
Epoch 57 loss=0.9166, clf_loss=0.2399, lbl_loss=0.6767
Epoch 58 loss=0.9023, clf_loss=0.2366, lbl_loss=0.6657
Epoch 59 loss=0.8943, clf_loss=0.2372, lbl_loss=0.6571
Epoch 60 loss=0.9070, clf_loss=0.2350, lbl_loss=0.6720
Epoch 61 loss=0.8960, clf_loss=0.2305, lbl_loss=0.6655
Epoch 62 loss=0.8954, clf_loss=0.2268, lbl_loss=0.6685
Epoch 63 loss=0.8964, clf_loss=0.2269, lbl_loss=0.6695
Epoch 64 loss=0.8953, clf_loss=0.2215, lbl_loss=0.6738
Epoch 65 loss=0.8743, clf_loss=0.2202, lbl_loss=0.6540
Epoch 66 loss=0.8766, clf_loss=0.2185, lbl_loss=0.6581
Epoch 67 loss=0.8800, clf_loss=0.2172, lbl_loss=0.6628
Epoch 68 loss=0.8715, clf_loss=0.2111, lbl_loss=0.6604
Epoch 69 loss=0.8751, clf_loss=0.2090, lbl_loss=0.6661
Epoch 70 loss=0.8624, clf_loss=0.2066, lbl_loss=0.6558
Epoch 71 loss=0.8677, clf_loss=0.2031, lbl_loss=0.6646
Epoch 72 loss=0.8636, clf_loss=0.2036, lbl_loss=0.6600
Epoch 73 loss=0.8623, clf_loss=0.1990, lbl_loss=0.6633
Epoch 74 loss=0.8475, clf_loss=0.1958, lbl_loss=0.6517
Epoch 75 loss=0.8514, clf_loss=0.1918, lbl_loss=0.6596
Epoch 76 loss=0.8471, clf_loss=0.1912, lbl_loss=0.6559
Epoch 77 loss=0.8434, clf_loss=0.1896, lbl_loss=0.6538
Epoch 78 loss=0.8340, clf_loss=0.1819, lbl_loss=0.6520
Epoch 79 loss=0.8515, clf_loss=0.1800, lbl_loss=0.6715
Epoch 80 loss=0.8365, clf_loss=0.1812, lbl_loss=0.6553
Epoch 81 loss=0.8365, clf_loss=0.1816, lbl_loss=0.6549
