# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset cs --seed 1 --method nsreg --tag E400_nsreg --epochs 400 --rotations 8
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] NSReg, rotations [np.int64(8)] of [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] n_epochs=400 eval_every=1 input_dim=6805 wd=0.0 lr=0.001
Normal classes: [2, 4, 5, 7, 10, 11, 13] in cs
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 286  num train neg edges: 944
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.3692, clf_loss=0.6269, lbl_loss=0.7424
Epoch  1 loss=1.2583, clf_loss=0.5303, lbl_loss=0.7280
Epoch  2 loss=1.1454, clf_loss=0.4431, lbl_loss=0.7023
Epoch  3 loss=1.0557, clf_loss=0.3696, lbl_loss=0.6861
Epoch  4 loss=0.9911, clf_loss=0.3147, lbl_loss=0.6764
Epoch  5 loss=0.9551, clf_loss=0.2745, lbl_loss=0.6805
Epoch  6 loss=0.9440, clf_loss=0.2556, lbl_loss=0.6884
Epoch  7 loss=0.9276, clf_loss=0.2508, lbl_loss=0.6769
Epoch  8 loss=0.9440, clf_loss=0.2561, lbl_loss=0.6879
Epoch  9 loss=0.9225, clf_loss=0.2583, lbl_loss=0.6642
Epoch 10 loss=0.9248, clf_loss=0.2547, lbl_loss=0.6701
Epoch 11 loss=0.9327, clf_loss=0.2495, lbl_loss=0.6833
Epoch 12 loss=0.9045, clf_loss=0.2425, lbl_loss=0.6620
Epoch 13 loss=0.8940, clf_loss=0.2354, lbl_loss=0.6585
Epoch 14 loss=0.8814, clf_loss=0.2253, lbl_loss=0.6561
Epoch 15 loss=0.8867, clf_loss=0.2157, lbl_loss=0.6710
Epoch 16 loss=0.8763, clf_loss=0.2071, lbl_loss=0.6692
Epoch 17 loss=0.8563, clf_loss=0.1972, lbl_loss=0.6591
Epoch 18 loss=0.8571, clf_loss=0.1871, lbl_loss=0.6700
Epoch 19 loss=0.8397, clf_loss=0.1805, lbl_loss=0.6591
Epoch 20 loss=0.8343, clf_loss=0.1741, lbl_loss=0.6602
Epoch 21 loss=0.8258, clf_loss=0.1642, lbl_loss=0.6616
Epoch 22 loss=0.8123, clf_loss=0.1592, lbl_loss=0.6531
Epoch 23 loss=0.8080, clf_loss=0.1540, lbl_loss=0.6541
Epoch 24 loss=0.8003, clf_loss=0.1449, lbl_loss=0.6553
Epoch 25 loss=0.7861, clf_loss=0.1373, lbl_loss=0.6488
Epoch 26 loss=0.7893, clf_loss=0.1344, lbl_loss=0.6549
Epoch 27 loss=0.7765, clf_loss=0.1247, lbl_loss=0.6518
Epoch 28 loss=0.7704, clf_loss=0.1165, lbl_loss=0.6539
Epoch 29 loss=0.7588, clf_loss=0.1140, lbl_loss=0.6448
Epoch 30 loss=0.7477, clf_loss=0.1040, lbl_loss=0.6437
Epoch 31 loss=0.7285, clf_loss=0.0974, lbl_loss=0.6310
Epoch 32 loss=0.7230, clf_loss=0.0920, lbl_loss=0.6310
Epoch 33 loss=0.7385, clf_loss=0.0817, lbl_loss=0.6568
Epoch 34 loss=0.7208, clf_loss=0.0800, lbl_loss=0.6408
Epoch 35 loss=0.7140, clf_loss=0.0781, lbl_loss=0.6359
Epoch 36 loss=0.7076, clf_loss=0.0702, lbl_loss=0.6375
Epoch 37 loss=0.7112, clf_loss=0.0747, lbl_loss=0.6365
Epoch 38 loss=0.7010, clf_loss=0.0630, lbl_loss=0.6380
Epoch 39 loss=0.6993, clf_loss=0.0633, lbl_loss=0.6359
Epoch 40 loss=0.6867, clf_loss=0.0587, lbl_loss=0.6279
Epoch 41 loss=0.6767, clf_loss=0.0534, lbl_loss=0.6232
Epoch 42 loss=0.6776, clf_loss=0.0570, lbl_loss=0.6207
Epoch 43 loss=0.6519, clf_loss=0.0485, lbl_loss=0.6034
Epoch 44 loss=0.6760, clf_loss=0.0469, lbl_loss=0.6290
Epoch 45 loss=0.6576, clf_loss=0.0414, lbl_loss=0.6163
Epoch 46 loss=0.6535, clf_loss=0.0443, lbl_loss=0.6092
Epoch 47 loss=0.6359, clf_loss=0.0304, lbl_loss=0.6054
Epoch 48 loss=0.6557, clf_loss=0.0395, lbl_loss=0.6162
Epoch 49 loss=0.6403, clf_loss=0.0312, lbl_loss=0.6091
Epoch 50 loss=0.6206, clf_loss=0.0225, lbl_loss=0.5981
Epoch 51 loss=0.6225, clf_loss=0.0386, lbl_loss=0.5839
Epoch 52 loss=0.6056, clf_loss=0.0226, lbl_loss=0.5830
Epoch 53 loss=0.5957, clf_loss=0.0239, lbl_loss=0.5718
Epoch 54 loss=0.6143, clf_loss=0.0283, lbl_loss=0.5860
Epoch 55 loss=0.6031, clf_loss=0.0171, lbl_loss=0.5860
Epoch 56 loss=0.5871, clf_loss=0.0219, lbl_loss=0.5653
Epoch 57 loss=0.5936, clf_loss=0.0093, lbl_loss=0.5843
Epoch 58 loss=0.6011, clf_loss=0.0192, lbl_loss=0.5819
Epoch 59 loss=0.6026, clf_loss=0.0197, lbl_loss=0.5830
Epoch 60 loss=0.5994, clf_loss=0.0182, lbl_loss=0.5812
Epoch 61 loss=0.5919, clf_loss=0.0262, lbl_loss=0.5657
Epoch 62 loss=0.5513, clf_loss=0.0144, lbl_loss=0.5369
Epoch 63 loss=0.5707, clf_loss=0.0130, lbl_loss=0.5578
