# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 1 --method nsreg --tag E400_nsreg --epochs 400 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.001
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 764  num train neg edges: 3868
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.6434, clf_loss=0.9473, lbl_loss=0.6960
Epoch  1 loss=1.4316, clf_loss=0.7475, lbl_loss=0.6841
Epoch  2 loss=1.3166, clf_loss=0.6391, lbl_loss=0.6775
Epoch  3 loss=1.2236, clf_loss=0.5452, lbl_loss=0.6785
Epoch  4 loss=1.1209, clf_loss=0.4474, lbl_loss=0.6735
Epoch  5 loss=1.0328, clf_loss=0.3643, lbl_loss=0.6685
Epoch  6 loss=1.0035, clf_loss=0.3270, lbl_loss=0.6765
Epoch  7 loss=1.0041, clf_loss=0.3371, lbl_loss=0.6670
Epoch  8 loss=1.0445, clf_loss=0.3653, lbl_loss=0.6792
Epoch  9 loss=1.0389, clf_loss=0.3787, lbl_loss=0.6603
Epoch 10 loss=1.0575, clf_loss=0.3810, lbl_loss=0.6765
Epoch 11 loss=1.0385, clf_loss=0.3679, lbl_loss=0.6705
Epoch 12 loss=1.0332, clf_loss=0.3581, lbl_loss=0.6751
Epoch 13 loss=1.0094, clf_loss=0.3296, lbl_loss=0.6798
Epoch 14 loss=0.9956, clf_loss=0.3139, lbl_loss=0.6817
Epoch 15 loss=0.9810, clf_loss=0.3067, lbl_loss=0.6743
Epoch 16 loss=0.9678, clf_loss=0.3058, lbl_loss=0.6619
Epoch 17 loss=1.0004, clf_loss=0.3147, lbl_loss=0.6856
Epoch 18 loss=0.9890, clf_loss=0.3180, lbl_loss=0.6710
Epoch 19 loss=0.9843, clf_loss=0.3202, lbl_loss=0.6641
Epoch 20 loss=0.9765, clf_loss=0.3168, lbl_loss=0.6597
Epoch 21 loss=0.9722, clf_loss=0.3115, lbl_loss=0.6607
Epoch 22 loss=0.9734, clf_loss=0.3048, lbl_loss=0.6686
Epoch 23 loss=0.9738, clf_loss=0.2946, lbl_loss=0.6792
Epoch 24 loss=0.9710, clf_loss=0.2922, lbl_loss=0.6788
Epoch 25 loss=0.9579, clf_loss=0.2875, lbl_loss=0.6704
Epoch 26 loss=0.9527, clf_loss=0.2789, lbl_loss=0.6738
Epoch 27 loss=0.9576, clf_loss=0.2850, lbl_loss=0.6727
Epoch 28 loss=0.9421, clf_loss=0.2786, lbl_loss=0.6634
Epoch 29 loss=0.9432, clf_loss=0.2733, lbl_loss=0.6699
Epoch 30 loss=0.9650, clf_loss=0.2798, lbl_loss=0.6851
Epoch 31 loss=0.9485, clf_loss=0.2771, lbl_loss=0.6714
Epoch 32 loss=0.9462, clf_loss=0.2699, lbl_loss=0.6763
Epoch 33 loss=0.9375, clf_loss=0.2711, lbl_loss=0.6665
Epoch 34 loss=0.9339, clf_loss=0.2621, lbl_loss=0.6717
Epoch 35 loss=0.9236, clf_loss=0.2588, lbl_loss=0.6648
Epoch 36 loss=0.9421, clf_loss=0.2648, lbl_loss=0.6773
Epoch 37 loss=0.9300, clf_loss=0.2558, lbl_loss=0.6742
Epoch 38 loss=0.9174, clf_loss=0.2548, lbl_loss=0.6626
Epoch 39 loss=0.9280, clf_loss=0.2517, lbl_loss=0.6764
Epoch 40 loss=0.9231, clf_loss=0.2486, lbl_loss=0.6745
Epoch 41 loss=0.9164, clf_loss=0.2439, lbl_loss=0.6725
Epoch 42 loss=0.9055, clf_loss=0.2448, lbl_loss=0.6606
Epoch 43 loss=0.8992, clf_loss=0.2361, lbl_loss=0.6631
Epoch 44 loss=0.9166, clf_loss=0.2362, lbl_loss=0.6804
Epoch 45 loss=0.8890, clf_loss=0.2320, lbl_loss=0.6570
Epoch 46 loss=0.8914, clf_loss=0.2347, lbl_loss=0.6567
Epoch 47 loss=0.8860, clf_loss=0.2304, lbl_loss=0.6555
Epoch 48 loss=0.9072, clf_loss=0.2247, lbl_loss=0.6825
Epoch 49 loss=0.9013, clf_loss=0.2235, lbl_loss=0.6778
Epoch 50 loss=0.8945, clf_loss=0.2153, lbl_loss=0.6792
Epoch 51 loss=0.8945, clf_loss=0.2222, lbl_loss=0.6723
Epoch 52 loss=0.8914, clf_loss=0.2188, lbl_loss=0.6725
Epoch 53 loss=0.8820, clf_loss=0.2124, lbl_loss=0.6697
Epoch 54 loss=0.8817, clf_loss=0.2091, lbl_loss=0.6725
Epoch 55 loss=0.8816, clf_loss=0.2099, lbl_loss=0.6717
Epoch 56 loss=0.8774, clf_loss=0.2010, lbl_loss=0.6764
Epoch 57 loss=0.8685, clf_loss=0.2011, lbl_loss=0.6673
Epoch 58 loss=0.8550, clf_loss=0.1937, lbl_loss=0.6613
Epoch 59 loss=0.8624, clf_loss=0.1972, lbl_loss=0.6652
Epoch 60 loss=0.8569, clf_loss=0.1906, lbl_loss=0.6663
Epoch 61 loss=0.8684, clf_loss=0.1915, lbl_loss=0.6770
Epoch 62 loss=0.8557, clf_loss=0.1872, lbl_loss=0.6684
Epoch 63 loss=0.8466, clf_loss=0.1780, lbl_loss=0.6686
Epoch 64 loss=0.8580, clf_loss=0.1754, lbl_loss=0.6825
Epoch 65 loss=0.8393, clf_loss=0.1792, lbl_loss=0.6600
Epoch 66 loss=0.8325, clf_loss=0.1672, lbl_loss=0.6653
Epoch 67 loss=0.8213, clf_loss=0.1671, lbl_loss=0.6542
Epoch 68 loss=0.8234, clf_loss=0.1569, lbl_loss=0.6665
Epoch 69 loss=0.8216, clf_loss=0.1628, lbl_loss=0.6588
Epoch 70 loss=0.8103, clf_loss=0.1470, lbl_loss=0.6633
