/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ogbn-arxiv] NSReg, rotations [np.int64(34)] of [np.int64(4), np.int64(8), np.int64(10), np.int64(34)]
[ogbn-arxiv] n_epochs=400 eval_every=1 input_dim=128 wd=0.0 lr=0.001
Normal classes: [0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39] in ogbn-arxiv
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 2571  num train neg edges: 479
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.4892, clf_loss=0.8136, lbl_loss=0.6756
Epoch  1 loss=1.3279, clf_loss=0.6534, lbl_loss=0.6745
Epoch  2 loss=1.2080, clf_loss=0.5325, lbl_loss=0.6754
Epoch  3 loss=1.1388, clf_loss=0.4596, lbl_loss=0.6792
Epoch  4 loss=1.0970, clf_loss=0.4079, lbl_loss=0.6891
Epoch  5 loss=1.0421, clf_loss=0.3664, lbl_loss=0.6757
Epoch  6 loss=1.0202, clf_loss=0.3350, lbl_loss=0.6852
Epoch  7 loss=0.9943, clf_loss=0.3141, lbl_loss=0.6802
Epoch  8 loss=0.9858, clf_loss=0.3035, lbl_loss=0.6823
Epoch  9 loss=0.9683, clf_loss=0.3005, lbl_loss=0.6678
Epoch 10 loss=0.9820, clf_loss=0.3043, lbl_loss=0.6777
Epoch 11 loss=0.9850, clf_loss=0.3097, lbl_loss=0.6753
Epoch 12 loss=0.9902, clf_loss=0.3154, lbl_loss=0.6747
Epoch 13 loss=0.9931, clf_loss=0.3185, lbl_loss=0.6746
Epoch 14 loss=0.9885, clf_loss=0.3190, lbl_loss=0.6695
Epoch 15 loss=0.9834, clf_loss=0.3179, lbl_loss=0.6655
Epoch 16 loss=0.9839, clf_loss=0.3138, lbl_loss=0.6701
Epoch 17 loss=0.9749, clf_loss=0.3097, lbl_loss=0.6652
Epoch 18 loss=0.9645, clf_loss=0.3055, lbl_loss=0.6590
Epoch 19 loss=0.9885, clf_loss=0.3017, lbl_loss=0.6868
Epoch 20 loss=0.9595, clf_loss=0.2994, lbl_loss=0.6601
Epoch 21 loss=0.9790, clf_loss=0.2992, lbl_loss=0.6798
Epoch 22 loss=0.9746, clf_loss=0.3004, lbl_loss=0.6742
Epoch 23 loss=0.9821, clf_loss=0.3026, lbl_loss=0.6795
Epoch 24 loss=0.9803, clf_loss=0.3039, lbl_loss=0.6764
Epoch 25 loss=0.9693, clf_loss=0.3044, lbl_loss=0.6650
Epoch 26 loss=0.9764, clf_loss=0.3038, lbl_loss=0.6726
Epoch 27 loss=0.9680, clf_loss=0.3022, lbl_loss=0.6658
Epoch 28 loss=0.9785, clf_loss=0.2999, lbl_loss=0.6786
Epoch 29 loss=0.9626, clf_loss=0.2988, lbl_loss=0.6638
Epoch 30 loss=0.9647, clf_loss=0.2976, lbl_loss=0.6672
Epoch 31 loss=0.9771, clf_loss=0.2971, lbl_loss=0.6800
Epoch 32 loss=0.9723, clf_loss=0.2975, lbl_loss=0.6748
Epoch 33 loss=0.9823, clf_loss=0.2979, lbl_loss=0.6844
Epoch 34 loss=0.9668, clf_loss=0.2980, lbl_loss=0.6688
Epoch 35 loss=0.9742, clf_loss=0.2978, lbl_loss=0.6764
Epoch 36 loss=0.9720, clf_loss=0.2981, lbl_loss=0.6739
Epoch 37 loss=0.9740, clf_loss=0.2976, lbl_loss=0.6764
Epoch 38 loss=0.9813, clf_loss=0.2963, lbl_loss=0.6850
Epoch 39 loss=0.9652, clf_loss=0.2959, lbl_loss=0.6692
Epoch 40 loss=0.9793, clf_loss=0.2953, lbl_loss=0.6841
Epoch 41 loss=0.9692, clf_loss=0.2941, lbl_loss=0.6751
Epoch 42 loss=0.9567, clf_loss=0.2928, lbl_loss=0.6638
Epoch 43 loss=0.9706, clf_loss=0.2927, lbl_loss=0.6780
Epoch 44 loss=0.9713, clf_loss=0.2920, lbl_loss=0.6794
Epoch 45 loss=0.9537, clf_loss=0.2926, lbl_loss=0.6611
Epoch 46 loss=0.9591, clf_loss=0.2917, lbl_loss=0.6675
Epoch 47 loss=0.9697, clf_loss=0.2903, lbl_loss=0.6794
Epoch 48 loss=0.9618, clf_loss=0.2897, lbl_loss=0.6721
Epoch 49 loss=0.9676, clf_loss=0.2892, lbl_loss=0.6784
Epoch 50 loss=0.9550, clf_loss=0.2872, lbl_loss=0.6677
Epoch 51 loss=0.9633, clf_loss=0.2862, lbl_loss=0.6771
Epoch 52 loss=0.9619, clf_loss=0.2849, lbl_loss=0.6770
Epoch 53 loss=0.9573, clf_loss=0.2845, lbl_loss=0.6728
Epoch 54 loss=0.9527, clf_loss=0.2832, lbl_loss=0.6695
