# gpu=6 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset yelp --seed 42 --method nsreg --tag NT_lr0.001_wd0.0001 --set lr=0.001 lbl_lr=0.001 clf_lr=0.001 weight_decay=0.0001 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[yelp] n_epochs=400 eval_every=1 input_dim=32 wd=0.0001 lr=0.001
Normal classes: [0] in yelp
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
assertion passed...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 14020  num train neg edges: 14020
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.3730, clf_loss=0.6755, lbl_loss=0.6975
Epoch  1 loss=1.2500, clf_loss=0.5669, lbl_loss=0.6831
Epoch  2 loss=1.1827, clf_loss=0.4947, lbl_loss=0.6881
Epoch  3 loss=1.1112, clf_loss=0.4329, lbl_loss=0.6783
Epoch  4 loss=1.0506, clf_loss=0.3824, lbl_loss=0.6682
Epoch  5 loss=1.0166, clf_loss=0.3447, lbl_loss=0.6719
Epoch  6 loss=0.9962, clf_loss=0.3188, lbl_loss=0.6774
Epoch  7 loss=0.9786, clf_loss=0.3046, lbl_loss=0.6740
Epoch  8 loss=0.9639, clf_loss=0.2992, lbl_loss=0.6647
Epoch  9 loss=0.9753, clf_loss=0.3049, lbl_loss=0.6704
Epoch 10 loss=0.9880, clf_loss=0.3120, lbl_loss=0.6759
Epoch 11 loss=0.9749, clf_loss=0.3204, lbl_loss=0.6545
Epoch 12 loss=0.9953, clf_loss=0.3281, lbl_loss=0.6672
Epoch 13 loss=1.0133, clf_loss=0.3301, lbl_loss=0.6832
Epoch 14 loss=1.0095, clf_loss=0.3292, lbl_loss=0.6802
Epoch 15 loss=0.9864, clf_loss=0.3241, lbl_loss=0.6623
Epoch 16 loss=0.9800, clf_loss=0.3180, lbl_loss=0.6621
Epoch 17 loss=0.9904, clf_loss=0.3109, lbl_loss=0.6795
Epoch 18 loss=0.9812, clf_loss=0.3051, lbl_loss=0.6761
Epoch 19 loss=0.9727, clf_loss=0.3015, lbl_loss=0.6711
Epoch 20 loss=0.9730, clf_loss=0.3004, lbl_loss=0.6727
Epoch 21 loss=0.9772, clf_loss=0.3005, lbl_loss=0.6767
Epoch 22 loss=0.9729, clf_loss=0.3023, lbl_loss=0.6705
Epoch 23 loss=0.9773, clf_loss=0.3041, lbl_loss=0.6732
Epoch 24 loss=0.9805, clf_loss=0.3058, lbl_loss=0.6747
Epoch 25 loss=0.9927, clf_loss=0.3067, lbl_loss=0.6860
Epoch 26 loss=0.9710, clf_loss=0.3059, lbl_loss=0.6652
Epoch 27 loss=0.9778, clf_loss=0.3049, lbl_loss=0.6728
Epoch 28 loss=0.9741, clf_loss=0.3041, lbl_loss=0.6699
Epoch 29 loss=0.9720, clf_loss=0.3025, lbl_loss=0.6695
Epoch 30 loss=0.9741, clf_loss=0.3010, lbl_loss=0.6731
