# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset computers --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 6 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] NSReg, rotations [np.int64(6)] of [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] n_epochs=400 eval_every=1 input_dim=767 wd=0.0 lr=0.003
Normal classes: [1, 2, 4, 7, 8] in computers
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 900  num train neg edges: 3588
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.2203, clf_loss=0.5467, lbl_loss=0.6736
Epoch  1 loss=1.0372, clf_loss=0.3563, lbl_loss=0.6809
Epoch  2 loss=0.9835, clf_loss=0.3257, lbl_loss=0.6578
Epoch  3 loss=1.0106, clf_loss=0.3126, lbl_loss=0.6980
Epoch  4 loss=0.9748, clf_loss=0.3051, lbl_loss=0.6697
Epoch  5 loss=0.9771, clf_loss=0.3027, lbl_loss=0.6744
Epoch  6 loss=0.9822, clf_loss=0.2998, lbl_loss=0.6824
Epoch  7 loss=0.9822, clf_loss=0.3027, lbl_loss=0.6796
Epoch  8 loss=0.9854, clf_loss=0.3021, lbl_loss=0.6834
Epoch  9 loss=0.9599, clf_loss=0.2992, lbl_loss=0.6607
Epoch 10 loss=0.9751, clf_loss=0.2994, lbl_loss=0.6757
Epoch 11 loss=0.9862, clf_loss=0.2998, lbl_loss=0.6864
Epoch 12 loss=0.9637, clf_loss=0.2968, lbl_loss=0.6669
Epoch 13 loss=0.9649, clf_loss=0.2963, lbl_loss=0.6685
Epoch 14 loss=0.9718, clf_loss=0.2941, lbl_loss=0.6777
Epoch 15 loss=0.9583, clf_loss=0.2892, lbl_loss=0.6691
Epoch 16 loss=0.9532, clf_loss=0.2910, lbl_loss=0.6623
Epoch 17 loss=0.9520, clf_loss=0.2849, lbl_loss=0.6671
Epoch 18 loss=0.9459, clf_loss=0.2806, lbl_loss=0.6653
Epoch 19 loss=0.9434, clf_loss=0.2760, lbl_loss=0.6674
Epoch 20 loss=0.9424, clf_loss=0.2718, lbl_loss=0.6706
Epoch 21 loss=0.9491, clf_loss=0.2655, lbl_loss=0.6836
Epoch 22 loss=0.9229, clf_loss=0.2570, lbl_loss=0.6659
Epoch 23 loss=0.9138, clf_loss=0.2418, lbl_loss=0.6720
Epoch 24 loss=0.9042, clf_loss=0.2376, lbl_loss=0.6666
Epoch 25 loss=0.8809, clf_loss=0.2206, lbl_loss=0.6602
Epoch 26 loss=0.8810, clf_loss=0.2071, lbl_loss=0.6739
Epoch 27 loss=0.8645, clf_loss=0.1877, lbl_loss=0.6769
Epoch 28 loss=0.8522, clf_loss=0.1818, lbl_loss=0.6705
Epoch 29 loss=0.8047, clf_loss=0.1416, lbl_loss=0.6631
Epoch 30 loss=0.8031, clf_loss=0.1333, lbl_loss=0.6698
Epoch 31 loss=0.8001, clf_loss=0.1366, lbl_loss=0.6635
Epoch 32 loss=0.8021, clf_loss=0.1309, lbl_loss=0.6712
