# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.4653, clf_loss=0.6994, lbl_loss=0.7660
Epoch  1 loss=1.0708, clf_loss=0.3685, lbl_loss=0.7023
Epoch  2 loss=1.1003, clf_loss=0.4280, lbl_loss=0.6723
Epoch  3 loss=1.1112, clf_loss=0.4117, lbl_loss=0.6995
Epoch  4 loss=1.0188, clf_loss=0.3417, lbl_loss=0.6771
Epoch  5 loss=0.9985, clf_loss=0.3335, lbl_loss=0.6651
Epoch  6 loss=1.0299, clf_loss=0.3480, lbl_loss=0.6819
Epoch  7 loss=1.0130, clf_loss=0.3403, lbl_loss=0.6727
Epoch  8 loss=0.9851, clf_loss=0.3142, lbl_loss=0.6709
Epoch  9 loss=0.9897, clf_loss=0.3129, lbl_loss=0.6768
Epoch 10 loss=0.9939, clf_loss=0.3175, lbl_loss=0.6764
Epoch 11 loss=0.9848, clf_loss=0.3081, lbl_loss=0.6767
Epoch 12 loss=0.9616, clf_loss=0.2860, lbl_loss=0.6756
Epoch 13 loss=0.9568, clf_loss=0.2831, lbl_loss=0.6737
Epoch 14 loss=0.9585, clf_loss=0.2805, lbl_loss=0.6779
Epoch 15 loss=0.9383, clf_loss=0.2700, lbl_loss=0.6683
Epoch 16 loss=0.9278, clf_loss=0.2627, lbl_loss=0.6651
Epoch 17 loss=0.9317, clf_loss=0.2554, lbl_loss=0.6762
Epoch 18 loss=0.9285, clf_loss=0.2545, lbl_loss=0.6740
Epoch 19 loss=0.9124, clf_loss=0.2451, lbl_loss=0.6673
Epoch 20 loss=0.9198, clf_loss=0.2400, lbl_loss=0.6798
Epoch 21 loss=0.8974, clf_loss=0.2255, lbl_loss=0.6719
Epoch 22 loss=0.9160, clf_loss=0.2370, lbl_loss=0.6789
Epoch 23 loss=0.9012, clf_loss=0.2276, lbl_loss=0.6736
Epoch 24 loss=0.8994, clf_loss=0.2220, lbl_loss=0.6774
