# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset ogbn-arxiv --seed 0 --method outpost --tag C_sim --rotations 10 --set sim_topk_frac=1.0
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ogbn-arxiv] anomaly classes (rotations): [np.int64(4), np.int64(8), np.int64(10), np.int64(34)]
[ogbn-arxiv] running subset: [np.int64(10)]
Normal classes: [np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39)] in ogbn-arxiv
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5085 PR 0.1855 | unseen ROC 0.5341 PR 0.1560 | valAUC 0.4631 | tau+ 0.502
[OUTPOST-v4] epoch 1: test-all ROC 0.5147 PR 0.1923 | unseen ROC 0.5301 PR 0.1596 | valAUC 0.5191 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4958 PR 0.1843 | unseen ROC 0.5119 PR 0.1513 | valAUC 0.4877 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5038 PR 0.1896 | unseen ROC 0.5192 PR 0.1567 | valAUC 0.4920 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5081 PR 0.1920 | unseen ROC 0.5239 PR 0.1591 | valAUC 0.4854 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5164 PR 0.1978 | unseen ROC 0.5306 PR 0.1645 | valAUC 0.5086 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5208 PR 0.2011 | unseen ROC 0.5327 PR 0.1667 | valAUC 0.5326 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5224 PR 0.2008 | unseen ROC 0.5329 PR 0.1647 | valAUC 0.5492 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5236 PR 0.2015 | unseen ROC 0.5327 PR 0.1644 | valAUC 0.5627 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5238 PR 0.2001 | unseen ROC 0.5310 PR 0.1613 | valAUC 0.5712 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5248 PR 0.2004 | unseen ROC 0.5305 PR 0.1608 | valAUC 0.5771 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5258 PR 0.2015 | unseen ROC 0.5307 PR 0.1617 | valAUC 0.5797 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5267 PR 0.2031 | unseen ROC 0.5311 PR 0.1635 | valAUC 0.5802 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5275 PR 0.2048 | unseen ROC 0.5315 PR 0.1657 | valAUC 0.5789 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5272 PR 0.2051 | unseen ROC 0.5307 PR 0.1661 | valAUC 0.5729 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5269 PR 0.2063 | unseen ROC 0.5301 PR 0.1680 | valAUC 0.5673 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5263 PR 0.2070 | unseen ROC 0.5288 PR 0.1691 | valAUC 0.5643 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5269 PR 0.2095 | unseen ROC 0.5305 PR 0.1733 | valAUC 0.5563 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5237 PR 0.2083 | unseen ROC 0.5273 PR 0.1726 | valAUC 0.5484 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5245 PR 0.2094 | unseen ROC 0.5276 PR 0.1741 | valAUC 0.5616 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5217 PR 0.2089 | unseen ROC 0.5250 PR 0.1745 | valAUC 0.5571 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5186 PR 0.2080 | unseen ROC 0.5220 PR 0.1744 | valAUC 0.5555 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5164 PR 0.2072 | unseen ROC 0.5197 PR 0.1739 | valAUC 0.5527 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5196 PR 0.2072 | unseen ROC 0.5240 PR 0.1726 | valAUC 0.5377 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5294 PR 0.2003 | unseen ROC 0.5372 PR 0.1598 | valAUC 0.5122 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5305 PR 0.1861 | unseen ROC 0.5389 PR 0.1415 | valAUC 0.4720 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5207 PR 0.1781 | unseen ROC 0.5243 PR 0.1319 | valAUC 0.4380 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5148 PR 0.1757 | unseen ROC 0.5144 PR 0.1283 | valAUC 0.4441 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5138 PR 0.1756 | unseen ROC 0.5108 PR 0.1270 | valAUC 0.4561 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5156 PR 0.1768 | unseen ROC 0.5107 PR 0.1270 | valAUC 0.4656 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5194 PR 0.1792 | unseen ROC 0.5128 PR 0.1277 | valAUC 0.4766 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5237 PR 0.1822 | unseen ROC 0.5157 PR 0.1291 | valAUC 0.4880 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5271 PR 0.1848 | unseen ROC 0.5178 PR 0.1302 | valAUC 0.4947 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5296 PR 0.1867 | unseen ROC 0.5190 PR 0.1309 | valAUC 0.5005 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5320 PR 0.1884 | unseen ROC 0.5200 PR 0.1313 | valAUC 0.5050 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5340 PR 0.1899 | unseen ROC 0.5207 PR 0.1315 | valAUC 0.5088 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5359 PR 0.1912 | unseen ROC 0.5214 PR 0.1317 | valAUC 0.5124 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.5376 PR 0.1926 | unseen ROC 0.5210 PR 0.1310 | valAUC 0.5175 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.5388 PR 0.1933 | unseen ROC 0.5198 PR 0.1303 | valAUC 0.5284 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.5403 PR 0.1941 | unseen ROC 0.5204 PR 0.1304 | valAUC 0.5305 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.5415 PR 0.1948 | unseen ROC 0.5210 PR 0.1305 | valAUC 0.5322 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.5425 PR 0.1953 | unseen ROC 0.5214 PR 0.1305 | valAUC 0.5349 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.5431 PR 0.1954 | unseen ROC 0.5214 PR 0.1303 | valAUC 0.5388 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.5429 PR 0.1949 | unseen ROC 0.5198 PR 0.1294 | valAUC 0.5433 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.5432 PR 0.1950 | unseen ROC 0.5194 PR 0.1292 | valAUC 0.5454 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.5435 PR 0.1951 | unseen ROC 0.5191 PR 0.1290 | valAUC 0.5474 | tau+ 0.500
