# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag A_main
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [0, 3, 5, 6, 9]
Normal classes: [1, 2, 4, 7, 8] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4411 PR 0.1345 | unseen ROC 0.4035 PR 0.1059 | valAUC 0.6665 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4437 PR 0.1357 | unseen ROC 0.4036 PR 0.1060 | valAUC 0.6833 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4464 PR 0.1365 | unseen ROC 0.4068 PR 0.1067 | valAUC 0.6557 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4446 PR 0.1362 | unseen ROC 0.4036 PR 0.1064 | valAUC 0.6730 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4464 PR 0.1370 | unseen ROC 0.4060 PR 0.1070 | valAUC 0.6744 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4473 PR 0.1369 | unseen ROC 0.4058 PR 0.1067 | valAUC 0.6552 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4482 PR 0.1372 | unseen ROC 0.4074 PR 0.1069 | valAUC 0.6793 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4534 PR 0.1393 | unseen ROC 0.4104 PR 0.1077 | valAUC 0.6695 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4537 PR 0.1398 | unseen ROC 0.4112 PR 0.1086 | valAUC 0.6701 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4589 PR 0.1416 | unseen ROC 0.4150 PR 0.1094 | valAUC 0.6747 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4628 PR 0.1436 | unseen ROC 0.4186 PR 0.1107 | valAUC 0.7080 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4703 PR 0.1466 | unseen ROC 0.4244 PR 0.1109 | valAUC 0.7152 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4821 PR 0.1538 | unseen ROC 0.4374 PR 0.1149 | valAUC 0.7003 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.4788 PR 0.1512 | unseen ROC 0.4387 PR 0.1150 | valAUC 0.6963 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.4623 PR 0.1439 | unseen ROC 0.4291 PR 0.1126 | valAUC 0.6276 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5352 PR 0.1636 | unseen ROC 0.5528 PR 0.1468 | valAUC 0.3876 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5905 PR 0.2071 | unseen ROC 0.6335 PR 0.2013 | valAUC 0.3658 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5907 PR 0.2069 | unseen ROC 0.6347 PR 0.2004 | valAUC 0.3379 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5965 PR 0.2154 | unseen ROC 0.6415 PR 0.2108 | valAUC 0.4075 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6124 PR 0.2289 | unseen ROC 0.6553 PR 0.2262 | valAUC 0.3937 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6137 PR 0.2171 | unseen ROC 0.6397 PR 0.2082 | valAUC 0.5111 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6078 PR 0.2038 | unseen ROC 0.6146 PR 0.1878 | valAUC 0.5966 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5792 PR 0.1862 | unseen ROC 0.5759 PR 0.1662 | valAUC 0.6658 | tau+ 0.500
