# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 7 --method outpost --tag E400_outpost --rotations 6 --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(6)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4620 PR 0.1411 | unseen ROC 0.5269 PR 0.1311 | valAUC 0.2155 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4704 PR 0.1427 | unseen ROC 0.5369 PR 0.1330 | valAUC 0.1948 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4721 PR 0.1435 | unseen ROC 0.5393 PR 0.1342 | valAUC 0.1796 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4717 PR 0.1433 | unseen ROC 0.5369 PR 0.1332 | valAUC 0.1885 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4724 PR 0.1436 | unseen ROC 0.5370 PR 0.1335 | valAUC 0.2055 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4768 PR 0.1446 | unseen ROC 0.5393 PR 0.1338 | valAUC 0.1839 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4755 PR 0.1438 | unseen ROC 0.5375 PR 0.1330 | valAUC 0.2115 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4819 PR 0.1458 | unseen ROC 0.5418 PR 0.1346 | valAUC 0.2342 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4857 PR 0.1473 | unseen ROC 0.5373 PR 0.1347 | valAUC 0.2928 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4955 PR 0.1500 | unseen ROC 0.5091 PR 0.1285 | valAUC 0.4707 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5159 PR 0.1678 | unseen ROC 0.4416 PR 0.1066 | valAUC 0.8698 | tau+ 0.500
