# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 6 --method outpost --tag E400_outpost --rotations 0 --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(0)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7614 PR 0.5507 | unseen ROC 0.7329 PR 0.4449 | valAUC 0.9095 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7687 PR 0.5803 | unseen ROC 0.7385 PR 0.4665 | valAUC 0.9069 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7715 PR 0.5870 | unseen ROC 0.7403 PR 0.4711 | valAUC 0.9076 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7726 PR 0.5903 | unseen ROC 0.7415 PR 0.4765 | valAUC 0.9189 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7739 PR 0.5924 | unseen ROC 0.7423 PR 0.4775 | valAUC 0.9248 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7789 PR 0.6011 | unseen ROC 0.7478 PR 0.4893 | valAUC 0.9350 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7859 PR 0.6147 | unseen ROC 0.7551 PR 0.5072 | valAUC 0.9241 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7951 PR 0.6273 | unseen ROC 0.7659 PR 0.5243 | valAUC 0.9364 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8008 PR 0.6384 | unseen ROC 0.7725 PR 0.5380 | valAUC 0.9407 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8065 PR 0.6464 | unseen ROC 0.7784 PR 0.5472 | valAUC 0.9482 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8132 PR 0.6567 | unseen ROC 0.7861 PR 0.5605 | valAUC 0.9359 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8199 PR 0.6679 | unseen ROC 0.7937 PR 0.5729 | valAUC 0.9499 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8260 PR 0.6774 | unseen ROC 0.7996 PR 0.5839 | valAUC 0.9735 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8299 PR 0.6846 | unseen ROC 0.8042 PR 0.5925 | valAUC 0.9745 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8360 PR 0.6933 | unseen ROC 0.8117 PR 0.6043 | valAUC 0.9638 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8401 PR 0.7016 | unseen ROC 0.8161 PR 0.6138 | valAUC 0.9773 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8440 PR 0.7078 | unseen ROC 0.8198 PR 0.6208 | valAUC 0.9787 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8484 PR 0.7159 | unseen ROC 0.8253 PR 0.6317 | valAUC 0.9773 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8531 PR 0.7227 | unseen ROC 0.8303 PR 0.6394 | valAUC 0.9818 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8579 PR 0.7321 | unseen ROC 0.8352 PR 0.6506 | valAUC 0.9882 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8641 PR 0.7431 | unseen ROC 0.8425 PR 0.6647 | valAUC 0.9799 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.8686 PR 0.7510 | unseen ROC 0.8472 PR 0.6732 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.8753 PR 0.7630 | unseen ROC 0.8550 PR 0.6886 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8839 PR 0.7773 | unseen ROC 0.8652 PR 0.7074 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8901 PR 0.7892 | unseen ROC 0.8722 PR 0.7230 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8960 PR 0.7999 | unseen ROC 0.8790 PR 0.7355 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.9048 PR 0.8152 | unseen ROC 0.8890 PR 0.7555 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.9142 PR 0.8326 | unseen ROC 0.8999 PR 0.7778 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.9231 PR 0.8478 | unseen ROC 0.9100 PR 0.7963 | valAUC 0.9995 | tau+ 0.500
