# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag G_b10_sim1.0 --set sampling_sizes=[10, 10] sim_topk_frac=1.0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5422 PR 0.0981 | unseen ROC 0.3387 PR 0.0330 | valAUC 0.8309 | tau+ 0.545
[OUTPOST-v4] epoch 1: test-all ROC 0.5659 PR 0.1018 | unseen ROC 0.3899 PR 0.0357 | valAUC 0.7947 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5601 PR 0.0986 | unseen ROC 0.3894 PR 0.0357 | valAUC 0.7821 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5524 PR 0.0978 | unseen ROC 0.3509 PR 0.0336 | valAUC 0.8459 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5561 PR 0.0998 | unseen ROC 0.3491 PR 0.0335 | valAUC 0.8502 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5610 PR 0.1018 | unseen ROC 0.3518 PR 0.0336 | valAUC 0.8512 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5650 PR 0.1037 | unseen ROC 0.3533 PR 0.0337 | valAUC 0.8556 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5685 PR 0.1057 | unseen ROC 0.3531 PR 0.0337 | valAUC 0.8609 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5720 PR 0.1077 | unseen ROC 0.3536 PR 0.0337 | valAUC 0.8647 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5765 PR 0.1104 | unseen ROC 0.3536 PR 0.0337 | valAUC 0.8729 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5805 PR 0.1137 | unseen ROC 0.3524 PR 0.0337 | valAUC 0.8821 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5828 PR 0.1168 | unseen ROC 0.3485 PR 0.0335 | valAUC 0.8913 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5853 PR 0.1198 | unseen ROC 0.3469 PR 0.0334 | valAUC 0.8971 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5876 PR 0.1226 | unseen ROC 0.3456 PR 0.0333 | valAUC 0.9005 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5913 PR 0.1257 | unseen ROC 0.3478 PR 0.0334 | valAUC 0.9029 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5944 PR 0.1282 | unseen ROC 0.3502 PR 0.0336 | valAUC 0.9063 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5973 PR 0.1311 | unseen ROC 0.3526 PR 0.0337 | valAUC 0.9082 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6005 PR 0.1371 | unseen ROC 0.3547 PR 0.0338 | valAUC 0.9097 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6035 PR 0.1545 | unseen ROC 0.3568 PR 0.0339 | valAUC 0.9121 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6069 PR 0.1690 | unseen ROC 0.3587 PR 0.0340 | valAUC 0.9155 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6103 PR 0.1810 | unseen ROC 0.3592 PR 0.0340 | valAUC 0.9164 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6136 PR 0.1970 | unseen ROC 0.3594 PR 0.0340 | valAUC 0.9188 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6172 PR 0.2145 | unseen ROC 0.3591 PR 0.0340 | valAUC 0.9261 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6199 PR 0.2316 | unseen ROC 0.3572 PR 0.0339 | valAUC 0.9338 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6239 PR 0.2714 | unseen ROC 0.3570 PR 0.0339 | valAUC 0.9391 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6299 PR 0.3360 | unseen ROC 0.3570 PR 0.0339 | valAUC 0.9473 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6354 PR 0.3888 | unseen ROC 0.3558 PR 0.0339 | valAUC 0.9546 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6370 PR 0.4156 | unseen ROC 0.3537 PR 0.0338 | valAUC 0.9589 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6366 PR 0.4111 | unseen ROC 0.3538 PR 0.0338 | valAUC 0.9585 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6355 PR 0.3961 | unseen ROC 0.3544 PR 0.0338 | valAUC 0.9570 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6359 PR 0.3959 | unseen ROC 0.3548 PR 0.0338 | valAUC 0.9565 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6372 PR 0.4079 | unseen ROC 0.3546 PR 0.0338 | valAUC 0.9580 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6390 PR 0.4316 | unseen ROC 0.3531 PR 0.0338 | valAUC 0.9643 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6403 PR 0.4470 | unseen ROC 0.3521 PR 0.0339 | valAUC 0.9671 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6412 PR 0.4563 | unseen ROC 0.3516 PR 0.0339 | valAUC 0.9696 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6418 PR 0.4633 | unseen ROC 0.3508 PR 0.0339 | valAUC 0.9705 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6420 PR 0.4648 | unseen ROC 0.3508 PR 0.0340 | valAUC 0.9710 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6422 PR 0.4647 | unseen ROC 0.3510 PR 0.0339 | valAUC 0.9715 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6424 PR 0.4642 | unseen ROC 0.3513 PR 0.0340 | valAUC 0.9715 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6433 PR 0.4730 | unseen ROC 0.3510 PR 0.0340 | valAUC 0.9720 | tau+ 0.533
