# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 2 --method outpost --tag A_main --rotations 1
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(1)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7684 PR 0.4888 | unseen ROC 0.7760 PR 0.4806 | valAUC 0.6135 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7670 PR 0.4982 | unseen ROC 0.7740 PR 0.4909 | valAUC 0.6135 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7672 PR 0.5041 | unseen ROC 0.7731 PR 0.4957 | valAUC 0.6246 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7705 PR 0.5105 | unseen ROC 0.7762 PR 0.5015 | valAUC 0.6243 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7737 PR 0.5209 | unseen ROC 0.7789 PR 0.5111 | valAUC 0.6409 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7953 PR 0.5620 | unseen ROC 0.7987 PR 0.5512 | valAUC 0.6830 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.8165 PR 0.6122 | unseen ROC 0.8178 PR 0.5985 | valAUC 0.7113 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.8377 PR 0.6619 | unseen ROC 0.8381 PR 0.6470 | valAUC 0.7589 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8562 PR 0.7075 | unseen ROC 0.8544 PR 0.6899 | valAUC 0.8104 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8701 PR 0.7388 | unseen ROC 0.8675 PR 0.7188 | valAUC 0.8709 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8807 PR 0.7647 | unseen ROC 0.8774 PR 0.7437 | valAUC 0.8730 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8899 PR 0.7844 | unseen ROC 0.8862 PR 0.7633 | valAUC 0.8941 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8966 PR 0.7978 | unseen ROC 0.8924 PR 0.7762 | valAUC 0.9156 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.9013 PR 0.8063 | unseen ROC 0.8970 PR 0.7849 | valAUC 0.9149 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.9037 PR 0.8117 | unseen ROC 0.8993 PR 0.7892 | valAUC 0.9097 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.9066 PR 0.8138 | unseen ROC 0.9022 PR 0.7908 | valAUC 0.9340 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.9069 PR 0.8158 | unseen ROC 0.9024 PR 0.7928 | valAUC 0.9390 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.9075 PR 0.8162 | unseen ROC 0.9034 PR 0.7940 | valAUC 0.9418 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.9101 PR 0.8164 | unseen ROC 0.9058 PR 0.7923 | valAUC 0.9277 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.9114 PR 0.8194 | unseen ROC 0.9069 PR 0.7956 | valAUC 0.9520 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.9108 PR 0.8172 | unseen ROC 0.9064 PR 0.7931 | valAUC 0.9350 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.9122 PR 0.8201 | unseen ROC 0.9073 PR 0.7948 | valAUC 0.9506 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.9126 PR 0.8199 | unseen ROC 0.9081 PR 0.7949 | valAUC 0.9409 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.9140 PR 0.8235 | unseen ROC 0.9097 PR 0.7996 | valAUC 0.9553 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.9146 PR 0.8224 | unseen ROC 0.9098 PR 0.7968 | valAUC 0.9452 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.9160 PR 0.8225 | unseen ROC 0.9113 PR 0.7961 | valAUC 0.9548 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.9183 PR 0.8276 | unseen ROC 0.9139 PR 0.8022 | valAUC 0.9461 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.9174 PR 0.8208 | unseen ROC 0.9125 PR 0.7933 | valAUC 0.9376 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.9186 PR 0.8265 | unseen ROC 0.9142 PR 0.7996 | valAUC 0.9619 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.9190 PR 0.8230 | unseen ROC 0.9142 PR 0.7954 | valAUC 0.9667 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.9188 PR 0.8251 | unseen ROC 0.9142 PR 0.7972 | valAUC 0.9631 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.9204 PR 0.8198 | unseen ROC 0.9154 PR 0.7897 | valAUC 0.9809 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.9210 PR 0.8091 | unseen ROC 0.9160 PR 0.7751 | valAUC 0.9726 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.9233 PR 0.8096 | unseen ROC 0.9184 PR 0.7760 | valAUC 0.9723 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.9261 PR 0.7985 | unseen ROC 0.9218 PR 0.7628 | valAUC 0.9766 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.9283 PR 0.7931 | unseen ROC 0.9239 PR 0.7558 | valAUC 0.9792 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.9342 PR 0.8071 | unseen ROC 0.9301 PR 0.7726 | valAUC 0.9709 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.9416 PR 0.8384 | unseen ROC 0.9380 PR 0.8091 | valAUC 0.9804 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.9489 PR 0.8668 | unseen ROC 0.9460 PR 0.8429 | valAUC 0.9733 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.9541 PR 0.8826 | unseen ROC 0.9518 PR 0.8633 | valAUC 0.9700 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.9581 PR 0.8899 | unseen ROC 0.9565 PR 0.8720 | valAUC 0.9660 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.9631 PR 0.9038 | unseen ROC 0.9620 PR 0.8890 | valAUC 0.9752 | tau+ 0.500
