# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 0 --method outpost --tag T_Kp12 --rotations 3 --set K_p=12
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(3)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7869 PR 0.5493 | unseen ROC 0.7726 PR 0.4837 | valAUC 0.9447 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7789 PR 0.5373 | unseen ROC 0.7631 PR 0.4632 | valAUC 0.9593 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7702 PR 0.5306 | unseen ROC 0.7536 PR 0.4547 | valAUC 0.9452 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7665 PR 0.5361 | unseen ROC 0.7496 PR 0.4637 | valAUC 0.9428 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7616 PR 0.5357 | unseen ROC 0.7440 PR 0.4636 | valAUC 0.9421 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7731 PR 0.5637 | unseen ROC 0.7560 PR 0.4964 | valAUC 0.9501 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7843 PR 0.5909 | unseen ROC 0.7679 PR 0.5298 | valAUC 0.9582 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7949 PR 0.6131 | unseen ROC 0.7792 PR 0.5561 | valAUC 0.9624 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8078 PR 0.6379 | unseen ROC 0.7931 PR 0.5860 | valAUC 0.9624 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8165 PR 0.6558 | unseen ROC 0.8021 PR 0.6061 | valAUC 0.9764 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8261 PR 0.6741 | unseen ROC 0.8121 PR 0.6263 | valAUC 0.9816 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8321 PR 0.6868 | unseen ROC 0.8189 PR 0.6417 | valAUC 0.9766 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8387 PR 0.6989 | unseen ROC 0.8255 PR 0.6547 | valAUC 0.9785 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8449 PR 0.7101 | unseen ROC 0.8325 PR 0.6680 | valAUC 0.9818 | tau+ 0.500
