# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag T_drop0.1 --set drop_out=0.1
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5611 PR 0.1800 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4810 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5728 PR 0.1802 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4923 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5851 PR 0.1816 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5085 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5955 PR 0.1848 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5047 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5938 PR 0.1840 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5101 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5885 PR 0.1830 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5143 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5728 PR 0.1773 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5170 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5640 PR 0.1735 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5212 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5631 PR 0.1724 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5306 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5625 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5357 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5628 PR 0.1714 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5419 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5636 PR 0.1715 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5463 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5650 PR 0.1718 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5500 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5667 PR 0.1723 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5529 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5684 PR 0.1728 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5551 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5703 PR 0.1733 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5575 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5716 PR 0.1737 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5598 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5731 PR 0.1742 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5614 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5745 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5645 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5757 PR 0.1751 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5656 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5768 PR 0.1755 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5685 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5778 PR 0.1759 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5707 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5789 PR 0.1763 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5725 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5800 PR 0.1767 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5730 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5810 PR 0.1771 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5736 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5822 PR 0.1775 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5737 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5833 PR 0.1780 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5743 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5845 PR 0.1784 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5741 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5857 PR 0.1789 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5742 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5871 PR 0.1794 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5734 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5885 PR 0.1799 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5729 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5900 PR 0.1805 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5730 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5915 PR 0.1811 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5736 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5930 PR 0.1817 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5715 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5945 PR 0.1822 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5695 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5961 PR 0.1828 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5696 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5977 PR 0.1835 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5698 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.5995 PR 0.1843 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5676 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6015 PR 0.1852 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5668 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6035 PR 0.1861 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5665 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.6056 PR 0.1872 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5674 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.6077 PR 0.1882 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5662 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.6097 PR 0.1893 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5665 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.6116 PR 0.1903 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5654 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.6136 PR 0.1914 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5649 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.6154 PR 0.1924 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5656 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.6171 PR 0.1934 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5652 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.6186 PR 0.1942 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5663 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.6199 PR 0.1950 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5669 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.6209 PR 0.1956 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5673 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.6214 PR 0.1958 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5688 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.6224 PR 0.1964 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5689 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.6230 PR 0.1968 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5698 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.6234 PR 0.1971 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5700 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.6238 PR 0.1974 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5701 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.6244 PR 0.1977 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5704 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.6251 PR 0.1981 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5717 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.6258 PR 0.1986 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5713 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.6267 PR 0.1991 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5720 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.6276 PR 0.1997 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5725 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.6287 PR 0.2004 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5739 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.6300 PR 0.2012 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5735 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.6313 PR 0.2021 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5759 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.6327 PR 0.2031 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5766 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.6341 PR 0.2041 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5776 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.6355 PR 0.2052 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5781 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.6369 PR 0.2062 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5798 | tau+ 0.500
