# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 1 --method outpost --tag T_drop0.3 --rotations 3 --set drop_out=0.3
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(3)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4863 PR 0.1485 | unseen ROC 0.4654 PR 0.1130 | valAUC 0.6184 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4667 PR 0.1425 | unseen ROC 0.4492 PR 0.1090 | valAUC 0.6319 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4649 PR 0.1414 | unseen ROC 0.4494 PR 0.1082 | valAUC 0.5796 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4606 PR 0.1402 | unseen ROC 0.4442 PR 0.1071 | valAUC 0.6279 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4613 PR 0.1404 | unseen ROC 0.4456 PR 0.1072 | valAUC 0.6155 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4666 PR 0.1426 | unseen ROC 0.4502 PR 0.1091 | valAUC 0.6063 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4692 PR 0.1434 | unseen ROC 0.4512 PR 0.1090 | valAUC 0.6144 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4742 PR 0.1448 | unseen ROC 0.4562 PR 0.1102 | valAUC 0.6443 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4800 PR 0.1472 | unseen ROC 0.4615 PR 0.1116 | valAUC 0.6109 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4861 PR 0.1487 | unseen ROC 0.4651 PR 0.1124 | valAUC 0.6517 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4970 PR 0.1534 | unseen ROC 0.4707 PR 0.1147 | valAUC 0.6701 | tau+ 0.500
