# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 0 --method outpost --tag T_drop0.3 --rotations 9 --set drop_out=0.3
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(9)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7588 PR 0.4848 | unseen ROC 0.7567 PR 0.4708 | valAUC 0.9858 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7514 PR 0.4720 | unseen ROC 0.7494 PR 0.4581 | valAUC 0.9870 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7491 PR 0.4687 | unseen ROC 0.7469 PR 0.4550 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7473 PR 0.4641 | unseen ROC 0.7449 PR 0.4501 | valAUC 0.9832 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7461 PR 0.4613 | unseen ROC 0.7439 PR 0.4480 | valAUC 0.9877 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7501 PR 0.4686 | unseen ROC 0.7480 PR 0.4550 | valAUC 0.9863 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7564 PR 0.4783 | unseen ROC 0.7542 PR 0.4650 | valAUC 0.9891 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7631 PR 0.4927 | unseen ROC 0.7611 PR 0.4806 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7686 PR 0.4965 | unseen ROC 0.7667 PR 0.4840 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7745 PR 0.5088 | unseen ROC 0.7726 PR 0.4974 | valAUC 0.9936 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7804 PR 0.5227 | unseen ROC 0.7785 PR 0.5115 | valAUC 0.9934 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7880 PR 0.5369 | unseen ROC 0.7861 PR 0.5263 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7898 PR 0.5431 | unseen ROC 0.7879 PR 0.5329 | valAUC 0.9922 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7968 PR 0.5529 | unseen ROC 0.7949 PR 0.5424 | valAUC 0.9941 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8002 PR 0.5616 | unseen ROC 0.7986 PR 0.5522 | valAUC 0.9953 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8046 PR 0.5738 | unseen ROC 0.8029 PR 0.5647 | valAUC 0.9953 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8103 PR 0.5822 | unseen ROC 0.8087 PR 0.5733 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8166 PR 0.5923 | unseen ROC 0.8151 PR 0.5837 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8187 PR 0.5987 | unseen ROC 0.8172 PR 0.5902 | valAUC 0.9957 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8227 PR 0.6086 | unseen ROC 0.8213 PR 0.6004 | valAUC 0.9953 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8256 PR 0.6182 | unseen ROC 0.8240 PR 0.6100 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.8276 PR 0.6254 | unseen ROC 0.8260 PR 0.6174 | valAUC 0.9981 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.8348 PR 0.6374 | unseen ROC 0.8334 PR 0.6300 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8364 PR 0.6449 | unseen ROC 0.8351 PR 0.6377 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8434 PR 0.6570 | unseen ROC 0.8420 PR 0.6501 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8480 PR 0.6686 | unseen ROC 0.8467 PR 0.6621 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8517 PR 0.6807 | unseen ROC 0.8505 PR 0.6745 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8548 PR 0.6911 | unseen ROC 0.8537 PR 0.6853 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8609 PR 0.7044 | unseen ROC 0.8596 PR 0.6986 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8640 PR 0.7139 | unseen ROC 0.8629 PR 0.7086 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8684 PR 0.7255 | unseen ROC 0.8672 PR 0.7205 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.8741 PR 0.7383 | unseen ROC 0.8731 PR 0.7335 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.8781 PR 0.7495 | unseen ROC 0.8770 PR 0.7449 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.8832 PR 0.7644 | unseen ROC 0.8823 PR 0.7603 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.8890 PR 0.7785 | unseen ROC 0.8881 PR 0.7747 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.8936 PR 0.7911 | unseen ROC 0.8928 PR 0.7876 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.9021 PR 0.8115 | unseen ROC 0.9012 PR 0.8084 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.9103 PR 0.8310 | unseen ROC 0.9097 PR 0.8283 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.9229 PR 0.8562 | unseen ROC 0.9222 PR 0.8540 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.9358 PR 0.8760 | unseen ROC 0.9354 PR 0.8741 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.9532 PR 0.9053 | unseen ROC 0.9528 PR 0.9037 | valAUC 0.9931 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.9672 PR 0.9176 | unseen ROC 0.9669 PR 0.9162 | valAUC 0.9898 | tau+ 0.780
[OUTPOST-v4] epoch 42: test-all ROC 0.9681 PR 0.9227 | unseen ROC 0.9679 PR 0.9216 | valAUC 0.9931 | tau+ 0.708
[OUTPOST-v4] epoch 43: test-all ROC 0.9679 PR 0.9310 | unseen ROC 0.9676 PR 0.9298 | valAUC 0.9931 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.9669 PR 0.9335 | unseen ROC 0.9668 PR 0.9326 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.9665 PR 0.9331 | unseen ROC 0.9663 PR 0.9322 | valAUC 0.9931 | tau+ 0.500
