# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 0 --method outpost --tag T_hidden32 --rotations 3 --set hidden_dim=32
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(3)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4531 PR 0.1381 | unseen ROC 0.4400 PR 0.1065 | valAUC 0.4874 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4530 PR 0.1383 | unseen ROC 0.4391 PR 0.1062 | valAUC 0.4790 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4544 PR 0.1386 | unseen ROC 0.4403 PR 0.1064 | valAUC 0.4698 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4550 PR 0.1397 | unseen ROC 0.4403 PR 0.1071 | valAUC 0.4773 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4549 PR 0.1387 | unseen ROC 0.4403 PR 0.1064 | valAUC 0.4647 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4601 PR 0.1407 | unseen ROC 0.4435 PR 0.1073 | valAUC 0.4957 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4626 PR 0.1414 | unseen ROC 0.4483 PR 0.1085 | valAUC 0.4980 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4614 PR 0.1411 | unseen ROC 0.4462 PR 0.1079 | valAUC 0.4848 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4657 PR 0.1424 | unseen ROC 0.4496 PR 0.1090 | valAUC 0.5112 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4714 PR 0.1442 | unseen ROC 0.4535 PR 0.1098 | valAUC 0.5034 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4775 PR 0.1462 | unseen ROC 0.4587 PR 0.1113 | valAUC 0.5325 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4781 PR 0.1460 | unseen ROC 0.4578 PR 0.1107 | valAUC 0.5351 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4842 PR 0.1478 | unseen ROC 0.4628 PR 0.1118 | valAUC 0.5690 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.4961 PR 0.1529 | unseen ROC 0.4730 PR 0.1154 | valAUC 0.5313 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5046 PR 0.1565 | unseen ROC 0.4783 PR 0.1170 | valAUC 0.5661 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5138 PR 0.1603 | unseen ROC 0.4852 PR 0.1194 | valAUC 0.6195 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5230 PR 0.1645 | unseen ROC 0.4934 PR 0.1228 | valAUC 0.6230 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5397 PR 0.1721 | unseen ROC 0.5069 PR 0.1275 | valAUC 0.6716 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5515 PR 0.1785 | unseen ROC 0.5132 PR 0.1302 | valAUC 0.6756 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5634 PR 0.1859 | unseen ROC 0.5250 PR 0.1351 | valAUC 0.7339 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5722 PR 0.1920 | unseen ROC 0.5325 PR 0.1395 | valAUC 0.7221 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5834 PR 0.1980 | unseen ROC 0.5431 PR 0.1439 | valAUC 0.7451 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5918 PR 0.2039 | unseen ROC 0.5511 PR 0.1477 | valAUC 0.7882 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5964 PR 0.2075 | unseen ROC 0.5552 PR 0.1502 | valAUC 0.7750 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5975 PR 0.2102 | unseen ROC 0.5530 PR 0.1503 | valAUC 0.7782 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5970 PR 0.2089 | unseen ROC 0.5535 PR 0.1500 | valAUC 0.7603 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5986 PR 0.2098 | unseen ROC 0.5556 PR 0.1518 | valAUC 0.7641 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5990 PR 0.2124 | unseen ROC 0.5545 PR 0.1515 | valAUC 0.7922 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6004 PR 0.2127 | unseen ROC 0.5546 PR 0.1512 | valAUC 0.7813 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6032 PR 0.2145 | unseen ROC 0.5563 PR 0.1514 | valAUC 0.7810 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6031 PR 0.2172 | unseen ROC 0.5551 PR 0.1530 | valAUC 0.7718 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6091 PR 0.2214 | unseen ROC 0.5609 PR 0.1557 | valAUC 0.8124 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6196 PR 0.2322 | unseen ROC 0.5704 PR 0.1622 | valAUC 0.8075 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6305 PR 0.2423 | unseen ROC 0.5790 PR 0.1683 | valAUC 0.8520 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6397 PR 0.2541 | unseen ROC 0.5870 PR 0.1763 | valAUC 0.8391 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6505 PR 0.2671 | unseen ROC 0.5963 PR 0.1847 | valAUC 0.8629 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6650 PR 0.2838 | unseen ROC 0.6092 PR 0.1944 | valAUC 0.8888 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6725 PR 0.2999 | unseen ROC 0.6144 PR 0.2039 | valAUC 0.9014 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6809 PR 0.3209 | unseen ROC 0.6210 PR 0.2176 | valAUC 0.9011 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6927 PR 0.3392 | unseen ROC 0.6319 PR 0.2323 | valAUC 0.9216 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.7003 PR 0.3507 | unseen ROC 0.6392 PR 0.2385 | valAUC 0.9276 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.7025 PR 0.3576 | unseen ROC 0.6414 PR 0.2433 | valAUC 0.9261 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.7038 PR 0.3601 | unseen ROC 0.6416 PR 0.2433 | valAUC 0.9172 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.7025 PR 0.3638 | unseen ROC 0.6408 PR 0.2449 | valAUC 0.9305 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.7020 PR 0.3647 | unseen ROC 0.6391 PR 0.2420 | valAUC 0.9379 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.7028 PR 0.3697 | unseen ROC 0.6400 PR 0.2456 | valAUC 0.9362 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.7050 PR 0.3721 | unseen ROC 0.6412 PR 0.2476 | valAUC 0.9322 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.7081 PR 0.3820 | unseen ROC 0.6449 PR 0.2524 | valAUC 0.9414 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.7143 PR 0.3940 | unseen ROC 0.6513 PR 0.2583 | valAUC 0.9374 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.7176 PR 0.4039 | unseen ROC 0.6537 PR 0.2638 | valAUC 0.9477 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.7191 PR 0.4107 | unseen ROC 0.6544 PR 0.2653 | valAUC 0.9537 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.7192 PR 0.4168 | unseen ROC 0.6549 PR 0.2699 | valAUC 0.9483 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.7194 PR 0.4211 | unseen ROC 0.6554 PR 0.2708 | valAUC 0.9615 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.7231 PR 0.4309 | unseen ROC 0.6582 PR 0.2759 | valAUC 0.9649 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.7307 PR 0.4578 | unseen ROC 0.6667 PR 0.2907 | valAUC 0.9583 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.7375 PR 0.4827 | unseen ROC 0.6736 PR 0.3132 | valAUC 0.9678 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.7387 PR 0.4966 | unseen ROC 0.6739 PR 0.3271 | valAUC 0.9678 | tau+ 0.500
