# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 42 --method outpost --tag T_hidden32 --rotations 9 --set hidden_dim=32
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(9)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7324 PR 0.4104 | unseen ROC 0.7300 PR 0.3962 | valAUC 0.9974 | tau+ 0.504
[OUTPOST-v4] epoch 1: test-all ROC 0.7315 PR 0.4245 | unseen ROC 0.7292 PR 0.4095 | valAUC 0.9719 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7292 PR 0.4285 | unseen ROC 0.7269 PR 0.4146 | valAUC 0.9882 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7312 PR 0.4245 | unseen ROC 0.7289 PR 0.4106 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7319 PR 0.4263 | unseen ROC 0.7295 PR 0.4117 | valAUC 0.9955 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7359 PR 0.4314 | unseen ROC 0.7335 PR 0.4162 | valAUC 0.9726 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7384 PR 0.4365 | unseen ROC 0.7362 PR 0.4224 | valAUC 0.9671 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7433 PR 0.4435 | unseen ROC 0.7410 PR 0.4291 | valAUC 0.9936 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7473 PR 0.4502 | unseen ROC 0.7451 PR 0.4355 | valAUC 0.9740 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7462 PR 0.4532 | unseen ROC 0.7440 PR 0.4398 | valAUC 0.9697 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7520 PR 0.4582 | unseen ROC 0.7499 PR 0.4448 | valAUC 0.9662 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7544 PR 0.4642 | unseen ROC 0.7523 PR 0.4507 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7568 PR 0.4675 | unseen ROC 0.7546 PR 0.4538 | valAUC 0.9849 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7594 PR 0.4711 | unseen ROC 0.7572 PR 0.4577 | valAUC 0.9856 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7631 PR 0.4791 | unseen ROC 0.7610 PR 0.4658 | valAUC 0.9749 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7639 PR 0.4806 | unseen ROC 0.7618 PR 0.4676 | valAUC 0.9768 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7689 PR 0.4896 | unseen ROC 0.7669 PR 0.4771 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7731 PR 0.4948 | unseen ROC 0.7711 PR 0.4821 | valAUC 0.9676 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7748 PR 0.5033 | unseen ROC 0.7727 PR 0.4909 | valAUC 0.9681 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7786 PR 0.5082 | unseen ROC 0.7767 PR 0.4964 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7838 PR 0.5180 | unseen ROC 0.7818 PR 0.5064 | valAUC 0.9768 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7889 PR 0.5281 | unseen ROC 0.7869 PR 0.5162 | valAUC 0.9851 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7931 PR 0.5377 | unseen ROC 0.7913 PR 0.5267 | valAUC 0.9745 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.7983 PR 0.5471 | unseen ROC 0.7965 PR 0.5361 | valAUC 0.9678 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8064 PR 0.5640 | unseen ROC 0.8046 PR 0.5537 | valAUC 0.9688 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8103 PR 0.5759 | unseen ROC 0.8086 PR 0.5663 | valAUC 0.9846 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8187 PR 0.5950 | unseen ROC 0.8170 PR 0.5860 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8240 PR 0.6089 | unseen ROC 0.8224 PR 0.6003 | valAUC 0.9688 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8293 PR 0.6221 | unseen ROC 0.8278 PR 0.6139 | valAUC 0.9726 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8376 PR 0.6425 | unseen ROC 0.8360 PR 0.6347 | valAUC 0.9780 | tau+ 0.500
