# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag T_hidden64 --set hidden_dim=64
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6545 PR 0.2443 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5801 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6578 PR 0.2274 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6382 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6485 PR 0.2215 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6771 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6443 PR 0.2194 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6589 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6394 PR 0.2165 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6424 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6357 PR 0.2144 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6361 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6323 PR 0.2129 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6280 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6281 PR 0.2105 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6236 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6244 PR 0.2085 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6206 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6213 PR 0.2069 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6190 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6187 PR 0.2054 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6176 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6167 PR 0.2042 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6152 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6151 PR 0.2032 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6124 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6138 PR 0.2024 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6102 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6130 PR 0.2019 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6057 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6125 PR 0.2015 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6054 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6125 PR 0.2013 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6055 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6129 PR 0.2013 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6060 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6136 PR 0.2015 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6066 | tau+ 0.500
