# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 0 --method outpost --tag T_nosynth --rotations 3 --set use_mixup=false use_halo=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(3)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4474 PR 0.1353 | unseen ROC 0.4282 PR 0.1025 | valAUC 0.4810 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4531 PR 0.1376 | unseen ROC 0.4375 PR 0.1050 | valAUC 0.4759 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4528 PR 0.1372 | unseen ROC 0.4362 PR 0.1045 | valAUC 0.4888 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4561 PR 0.1389 | unseen ROC 0.4390 PR 0.1059 | valAUC 0.4793 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4591 PR 0.1394 | unseen ROC 0.4411 PR 0.1061 | valAUC 0.5057 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4621 PR 0.1405 | unseen ROC 0.4457 PR 0.1073 | valAUC 0.4960 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4661 PR 0.1416 | unseen ROC 0.4509 PR 0.1085 | valAUC 0.4963 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4701 PR 0.1428 | unseen ROC 0.4495 PR 0.1081 | valAUC 0.5161 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4750 PR 0.1449 | unseen ROC 0.4539 PR 0.1099 | valAUC 0.4963 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4776 PR 0.1458 | unseen ROC 0.4571 PR 0.1104 | valAUC 0.5089 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4832 PR 0.1476 | unseen ROC 0.4628 PR 0.1122 | valAUC 0.5282 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4883 PR 0.1494 | unseen ROC 0.4658 PR 0.1128 | valAUC 0.5511 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4934 PR 0.1510 | unseen ROC 0.4701 PR 0.1136 | valAUC 0.5374 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.4962 PR 0.1530 | unseen ROC 0.4722 PR 0.1153 | valAUC 0.5836 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5013 PR 0.1536 | unseen ROC 0.4737 PR 0.1149 | valAUC 0.5782 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5028 PR 0.1550 | unseen ROC 0.4765 PR 0.1161 | valAUC 0.5655 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5080 PR 0.1567 | unseen ROC 0.4803 PR 0.1170 | valAUC 0.6152 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5148 PR 0.1596 | unseen ROC 0.4868 PR 0.1189 | valAUC 0.6328 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5188 PR 0.1614 | unseen ROC 0.4897 PR 0.1205 | valAUC 0.6454 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5223 PR 0.1623 | unseen ROC 0.4934 PR 0.1214 | valAUC 0.6434 | tau+ 0.500
