# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 1 --method outpost --tag T_nosynth --rotations 3 --set use_mixup=false use_halo=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(3)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7685 PR 0.5171 | unseen ROC 0.7524 PR 0.4467 | valAUC 0.9260 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7645 PR 0.5226 | unseen ROC 0.7477 PR 0.4488 | valAUC 0.9279 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7619 PR 0.5223 | unseen ROC 0.7447 PR 0.4497 | valAUC 0.9213 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7579 PR 0.5153 | unseen ROC 0.7404 PR 0.4411 | valAUC 0.9104 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7549 PR 0.5108 | unseen ROC 0.7367 PR 0.4349 | valAUC 0.9255 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7571 PR 0.5178 | unseen ROC 0.7396 PR 0.4444 | valAUC 0.9215 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7619 PR 0.5244 | unseen ROC 0.7444 PR 0.4509 | valAUC 0.9189 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7673 PR 0.5382 | unseen ROC 0.7500 PR 0.4665 | valAUC 0.9260 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7723 PR 0.5514 | unseen ROC 0.7553 PR 0.4815 | valAUC 0.9343 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7776 PR 0.5653 | unseen ROC 0.7605 PR 0.4980 | valAUC 0.9241 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7846 PR 0.5811 | unseen ROC 0.7685 PR 0.5161 | valAUC 0.9400 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7884 PR 0.5910 | unseen ROC 0.7719 PR 0.5275 | valAUC 0.9329 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7971 PR 0.6065 | unseen ROC 0.7815 PR 0.5459 | valAUC 0.9411 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8040 PR 0.6238 | unseen ROC 0.7886 PR 0.5672 | valAUC 0.9589 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8106 PR 0.6376 | unseen ROC 0.7957 PR 0.5831 | valAUC 0.9478 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8202 PR 0.6540 | unseen ROC 0.8059 PR 0.6024 | valAUC 0.9506 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8287 PR 0.6683 | unseen ROC 0.8151 PR 0.6184 | valAUC 0.9489 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8341 PR 0.6813 | unseen ROC 0.8211 PR 0.6341 | valAUC 0.9603 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8433 PR 0.6969 | unseen ROC 0.8306 PR 0.6520 | valAUC 0.9565 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8504 PR 0.7084 | unseen ROC 0.8380 PR 0.6644 | valAUC 0.9560 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8578 PR 0.7224 | unseen ROC 0.8457 PR 0.6799 | valAUC 0.9629 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.8656 PR 0.7344 | unseen ROC 0.8545 PR 0.6943 | valAUC 0.9610 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.8739 PR 0.7504 | unseen ROC 0.8634 PR 0.7126 | valAUC 0.9605 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8783 PR 0.7600 | unseen ROC 0.8681 PR 0.7233 | valAUC 0.9591 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8840 PR 0.7723 | unseen ROC 0.8739 PR 0.7369 | valAUC 0.9667 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8889 PR 0.7801 | unseen ROC 0.8794 PR 0.7461 | valAUC 0.9742 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8932 PR 0.7907 | unseen ROC 0.8841 PR 0.7585 | valAUC 0.9738 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8937 PR 0.7939 | unseen ROC 0.8846 PR 0.7620 | valAUC 0.9678 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8958 PR 0.7981 | unseen ROC 0.8871 PR 0.7675 | valAUC 0.9733 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8961 PR 0.7990 | unseen ROC 0.8873 PR 0.7685 | valAUC 0.9655 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8959 PR 0.8003 | unseen ROC 0.8869 PR 0.7691 | valAUC 0.9660 | tau+ 0.500
