/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4989 PR 0.0631 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4937 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.5917 PR 0.0817 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6252 | tau+ 0.986
[OUTPOST-v4] epoch 2: test-all ROC 0.6576 PR 0.1122 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6396 | tau+ 0.934
[OUTPOST-v4] epoch 3: test-all ROC 0.6778 PR 0.1382 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7264 | tau+ 0.736
[OUTPOST-v4] epoch 4: test-all ROC 0.6960 PR 0.1596 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7135 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6952 PR 0.1772 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7958 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6973 PR 0.1901 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7865 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6982 PR 0.1946 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7568 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7117 PR 0.1965 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7826 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7273 PR 0.2121 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8027 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7051 PR 0.1845 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8021 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7162 PR 0.1883 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7835 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7185 PR 0.2040 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7682 | tau+ 0.500
