/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[amazon] n_epochs=400 eval_every=1 input_dim=25 wd=0.0 lr=0.003
Normal classes: [0] in amazon
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 20492  num train neg edges: 32046
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=4.9176, clf_loss=4.2162, lbl_loss=0.7014
Epoch  1 loss=1.7764, clf_loss=1.0963, lbl_loss=0.6801
Epoch  2 loss=2.2734, clf_loss=1.5722, lbl_loss=0.7012
Epoch  3 loss=2.3449, clf_loss=1.6804, lbl_loss=0.6645
Epoch  4 loss=2.1639, clf_loss=1.4967, lbl_loss=0.6672
Epoch  5 loss=1.4741, clf_loss=0.8004, lbl_loss=0.6737
Epoch  6 loss=1.0534, clf_loss=0.3884, lbl_loss=0.6650
Epoch  7 loss=4.7004, clf_loss=4.0307, lbl_loss=0.6697
Epoch  8 loss=1.0877, clf_loss=0.4200, lbl_loss=0.6677
Epoch  9 loss=1.6254, clf_loss=0.9491, lbl_loss=0.6763
Epoch 10 loss=2.1069, clf_loss=1.4199, lbl_loss=0.6871
Epoch 11 loss=2.2095, clf_loss=1.5285, lbl_loss=0.6809
Epoch 12 loss=2.3820, clf_loss=1.7094, lbl_loss=0.6726
Epoch 13 loss=2.4029, clf_loss=1.7316, lbl_loss=0.6714
Epoch 14 loss=2.2653, clf_loss=1.5767, lbl_loss=0.6886
Epoch 15 loss=2.1935, clf_loss=1.5194, lbl_loss=0.6742
Epoch 16 loss=2.0614, clf_loss=1.3865, lbl_loss=0.6750
Epoch 17 loss=1.9118, clf_loss=1.2328, lbl_loss=0.6790
Epoch 18 loss=1.8530, clf_loss=1.1724, lbl_loss=0.6806
Epoch 19 loss=1.6251, clf_loss=0.9540, lbl_loss=0.6711
Epoch 20 loss=1.5360, clf_loss=0.8627, lbl_loss=0.6733
Epoch 21 loss=1.3617, clf_loss=0.6911, lbl_loss=0.6706
Epoch 22 loss=1.1896, clf_loss=0.5234, lbl_loss=0.6662
Epoch 23 loss=1.1368, clf_loss=0.4612, lbl_loss=0.6756
Epoch 24 loss=1.0206, clf_loss=0.3345, lbl_loss=0.6860
Epoch 25 loss=0.9574, clf_loss=0.3013, lbl_loss=0.6562
Epoch 26 loss=0.9732, clf_loss=0.3175, lbl_loss=0.6557
Epoch 27 loss=1.0375, clf_loss=0.3725, lbl_loss=0.6650
Epoch 28 loss=1.1417, clf_loss=0.4522, lbl_loss=0.6896
Epoch 29 loss=1.1323, clf_loss=0.4693, lbl_loss=0.6630
Epoch 30 loss=1.1031, clf_loss=0.4367, lbl_loss=0.6664
Epoch 31 loss=1.0667, clf_loss=0.4060, lbl_loss=0.6607
Epoch 32 loss=1.0246, clf_loss=0.3535, lbl_loss=0.6710
Epoch 33 loss=0.9914, clf_loss=0.3217, lbl_loss=0.6697
Epoch 34 loss=0.9708, clf_loss=0.3065, lbl_loss=0.6643
Epoch 35 loss=0.9468, clf_loss=0.2927, lbl_loss=0.6541
Epoch 36 loss=0.9265, clf_loss=0.2624, lbl_loss=0.6642
Epoch 37 loss=0.9499, clf_loss=0.2886, lbl_loss=0.6614
Epoch 38 loss=0.9648, clf_loss=0.2908, lbl_loss=0.6740
Epoch 39 loss=0.9745, clf_loss=0.2879, lbl_loss=0.6866
Epoch 40 loss=0.9441, clf_loss=0.2798, lbl_loss=0.6642
Epoch 41 loss=0.9752, clf_loss=0.3075, lbl_loss=0.6677
Epoch 42 loss=0.9610, clf_loss=0.2920, lbl_loss=0.6690
Epoch 43 loss=0.9470, clf_loss=0.2818, lbl_loss=0.6651
Epoch 44 loss=0.9842, clf_loss=0.3140, lbl_loss=0.6703
Epoch 45 loss=0.9470, clf_loss=0.2894, lbl_loss=0.6576
Epoch 46 loss=0.9443, clf_loss=0.2917, lbl_loss=0.6526
Epoch 47 loss=0.9393, clf_loss=0.2714, lbl_loss=0.6679
Epoch 48 loss=0.9202, clf_loss=0.2743, lbl_loss=0.6459
Epoch 49 loss=0.9293, clf_loss=0.2695, lbl_loss=0.6598
