/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(7)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 714  num train neg edges: 2790
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.4099, clf_loss=0.7107, lbl_loss=0.6992
Epoch  1 loss=1.1368, clf_loss=0.4570, lbl_loss=0.6798
Epoch  2 loss=1.1761, clf_loss=0.4908, lbl_loss=0.6853
Epoch  3 loss=1.1243, clf_loss=0.4520, lbl_loss=0.6723
Epoch  4 loss=1.0849, clf_loss=0.3968, lbl_loss=0.6880
Epoch  5 loss=1.0865, clf_loss=0.4115, lbl_loss=0.6750
Epoch  6 loss=1.0898, clf_loss=0.4121, lbl_loss=0.6777
Epoch  7 loss=1.0686, clf_loss=0.3971, lbl_loss=0.6715
Epoch  8 loss=1.0632, clf_loss=0.3861, lbl_loss=0.6771
Epoch  9 loss=1.0756, clf_loss=0.3967, lbl_loss=0.6789
Epoch 10 loss=1.0558, clf_loss=0.3864, lbl_loss=0.6694
Epoch 11 loss=1.0693, clf_loss=0.3816, lbl_loss=0.6877
Epoch 12 loss=1.0353, clf_loss=0.3735, lbl_loss=0.6618
Epoch 13 loss=1.0503, clf_loss=0.3725, lbl_loss=0.6778
Epoch 14 loss=1.0499, clf_loss=0.3711, lbl_loss=0.6788
Epoch 15 loss=1.0400, clf_loss=0.3667, lbl_loss=0.6733
Epoch 16 loss=1.0203, clf_loss=0.3598, lbl_loss=0.6605
Epoch 17 loss=1.0401, clf_loss=0.3585, lbl_loss=0.6816
Epoch 18 loss=1.0297, clf_loss=0.3590, lbl_loss=0.6707
Epoch 19 loss=1.0304, clf_loss=0.3626, lbl_loss=0.6678
Epoch 20 loss=1.0191, clf_loss=0.3500, lbl_loss=0.6691
Epoch 21 loss=1.0156, clf_loss=0.3520, lbl_loss=0.6636
Epoch 22 loss=1.0260, clf_loss=0.3504, lbl_loss=0.6756
Epoch 23 loss=1.0007, clf_loss=0.3391, lbl_loss=0.6616
Epoch 24 loss=1.0063, clf_loss=0.3410, lbl_loss=0.6653
Epoch 25 loss=1.0092, clf_loss=0.3265, lbl_loss=0.6827
Epoch 26 loss=0.9934, clf_loss=0.3243, lbl_loss=0.6691
Epoch 27 loss=0.9888, clf_loss=0.3119, lbl_loss=0.6769
