# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 1 --method outpost --tag D_hidden16 --set hidden_dim=16
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4977 PR 0.1578 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5419 | tau+ 0.547
[OUTPOST-v4] epoch 1: test-all ROC 0.4960 PR 0.1579 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5270 | tau+ 0.534
[OUTPOST-v4] epoch 2: test-all ROC 0.4766 PR 0.1512 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4894 | tau+ 0.520
[OUTPOST-v4] epoch 3: test-all ROC 0.4659 PR 0.1477 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4806 | tau+ 0.507
[OUTPOST-v4] epoch 4: test-all ROC 0.4636 PR 0.1454 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4847 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4604 PR 0.1422 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4915 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4604 PR 0.1408 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4906 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4676 PR 0.1428 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4921 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4733 PR 0.1449 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4960 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4763 PR 0.1464 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5071 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4687 PR 0.1412 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5070 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4746 PR 0.1424 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5204 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4880 PR 0.1468 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5264 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5017 PR 0.1513 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5332 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5122 PR 0.1554 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5251 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5218 PR 0.1590 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5268 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5302 PR 0.1626 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5379 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5371 PR 0.1657 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5433 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5424 PR 0.1684 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5480 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5461 PR 0.1707 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5514 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5483 PR 0.1721 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5509 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5495 PR 0.1728 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5508 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5489 PR 0.1727 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5489 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5492 PR 0.1725 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5519 | tau+ 0.500
