# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 42 --method outpost --tag D_lambda1.25 --set lambda_un=1.25
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6040 PR 0.1194 | unseen ROC 0.3962 PR 0.0360 | valAUC 0.8459 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6041 PR 0.1189 | unseen ROC 0.3960 PR 0.0360 | valAUC 0.8449 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6031 PR 0.1196 | unseen ROC 0.3941 PR 0.0359 | valAUC 0.8386 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6097 PR 0.1217 | unseen ROC 0.4029 PR 0.0365 | valAUC 0.8295 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6054 PR 0.1219 | unseen ROC 0.3954 PR 0.0360 | valAUC 0.8386 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6155 PR 0.1257 | unseen ROC 0.4088 PR 0.0368 | valAUC 0.8266 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6160 PR 0.1287 | unseen ROC 0.4019 PR 0.0364 | valAUC 0.8478 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6192 PR 0.1300 | unseen ROC 0.4031 PR 0.0365 | valAUC 0.8565 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6173 PR 0.1325 | unseen ROC 0.3942 PR 0.0360 | valAUC 0.8633 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6306 PR 0.1398 | unseen ROC 0.4105 PR 0.0369 | valAUC 0.8725 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6326 PR 0.1467 | unseen ROC 0.4036 PR 0.0364 | valAUC 0.8850 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6344 PR 0.1545 | unseen ROC 0.3989 PR 0.0362 | valAUC 0.8908 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6424 PR 0.1599 | unseen ROC 0.4081 PR 0.0367 | valAUC 0.9039 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6450 PR 0.1643 | unseen ROC 0.4089 PR 0.0368 | valAUC 0.9010 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6476 PR 0.1739 | unseen ROC 0.4055 PR 0.0366 | valAUC 0.9092 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6470 PR 0.1788 | unseen ROC 0.4013 PR 0.0363 | valAUC 0.9208 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6482 PR 0.1797 | unseen ROC 0.4038 PR 0.0365 | valAUC 0.9145 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6466 PR 0.1837 | unseen ROC 0.4005 PR 0.0363 | valAUC 0.9126 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6537 PR 0.1912 | unseen ROC 0.4079 PR 0.0367 | valAUC 0.9300 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6565 PR 0.1991 | unseen ROC 0.4101 PR 0.0369 | valAUC 0.9295 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6581 PR 0.2129 | unseen ROC 0.4087 PR 0.0368 | valAUC 0.9300 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6644 PR 0.2248 | unseen ROC 0.4186 PR 0.0374 | valAUC 0.9377 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6630 PR 0.2323 | unseen ROC 0.4144 PR 0.0371 | valAUC 0.9367 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6589 PR 0.2387 | unseen ROC 0.4073 PR 0.0367 | valAUC 0.9319 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6617 PR 0.2318 | unseen ROC 0.4126 PR 0.0370 | valAUC 0.9319 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6646 PR 0.2252 | unseen ROC 0.4203 PR 0.0375 | valAUC 0.9411 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6624 PR 0.2230 | unseen ROC 0.4154 PR 0.0372 | valAUC 0.9377 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6609 PR 0.2244 | unseen ROC 0.4122 PR 0.0370 | valAUC 0.9406 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6574 PR 0.2222 | unseen ROC 0.4052 PR 0.0366 | valAUC 0.9348 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6627 PR 0.2232 | unseen ROC 0.4162 PR 0.0373 | valAUC 0.9353 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6648 PR 0.2345 | unseen ROC 0.4184 PR 0.0374 | valAUC 0.9386 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6589 PR 0.2353 | unseen ROC 0.4096 PR 0.0368 | valAUC 0.9372 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6644 PR 0.2396 | unseen ROC 0.4175 PR 0.0373 | valAUC 0.9396 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6647 PR 0.2600 | unseen ROC 0.4146 PR 0.0372 | valAUC 0.9382 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6635 PR 0.2736 | unseen ROC 0.4142 PR 0.0371 | valAUC 0.9406 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6656 PR 0.3016 | unseen ROC 0.4145 PR 0.0372 | valAUC 0.9469 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6710 PR 0.3296 | unseen ROC 0.4202 PR 0.0375 | valAUC 0.9478 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6721 PR 0.3576 | unseen ROC 0.4202 PR 0.0375 | valAUC 0.9527 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6714 PR 0.3870 | unseen ROC 0.4153 PR 0.0372 | valAUC 0.9502 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6826 PR 0.4256 | unseen ROC 0.4312 PR 0.0382 | valAUC 0.9541 | tau+ 0.532
[OUTPOST-v4] epoch 40: test-all ROC 0.6757 PR 0.4389 | unseen ROC 0.4177 PR 0.0373 | valAUC 0.9551 | tau+ 0.555
[OUTPOST-v4] epoch 41: test-all ROC 0.6835 PR 0.4455 | unseen ROC 0.4309 PR 0.0382 | valAUC 0.9531 | tau+ 0.602
[OUTPOST-v4] epoch 42: test-all ROC 0.6836 PR 0.4545 | unseen ROC 0.4305 PR 0.0382 | valAUC 0.9614 | tau+ 0.622
[OUTPOST-v4] epoch 43: test-all ROC 0.6805 PR 0.4607 | unseen ROC 0.4229 PR 0.0377 | valAUC 0.9614 | tau+ 0.625
[OUTPOST-v4] epoch 44: test-all ROC 0.6774 PR 0.4593 | unseen ROC 0.4189 PR 0.0375 | valAUC 0.9647 | tau+ 0.639
[OUTPOST-v4] epoch 45: test-all ROC 0.6862 PR 0.4680 | unseen ROC 0.4319 PR 0.0384 | valAUC 0.9585 | tau+ 0.638
[OUTPOST-v4] epoch 46: test-all ROC 0.6856 PR 0.4746 | unseen ROC 0.4304 PR 0.0385 | valAUC 0.9594 | tau+ 0.666
[OUTPOST-v4] epoch 47: test-all ROC 0.6896 PR 0.4782 | unseen ROC 0.4349 PR 0.0385 | valAUC 0.9710 | tau+ 0.678
[OUTPOST-v4] epoch 48: test-all ROC 0.6914 PR 0.4809 | unseen ROC 0.4393 PR 0.0391 | valAUC 0.9705 | tau+ 0.666
[OUTPOST-v4] epoch 49: test-all ROC 0.6888 PR 0.4799 | unseen ROC 0.4339 PR 0.0384 | valAUC 0.9643 | tau+ 0.664
[OUTPOST-v4] epoch 50: test-all ROC 0.6971 PR 0.4893 | unseen ROC 0.4483 PR 0.0395 | valAUC 0.9696 | tau+ 0.682
[OUTPOST-v4] epoch 51: test-all ROC 0.6915 PR 0.4962 | unseen ROC 0.4374 PR 0.0404 | valAUC 0.9729 | tau+ 0.720
