# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset tfinance --seed 42 --method outpost --tag C_nopl_sim0.0 --set sim_topk_frac=0.0 use_pl=false --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in tfinance
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5239 PR 0.0438 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5067 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.8380 PR 0.2608 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8108 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.8510 PR 0.5116 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7938 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.8379 PR 0.5280 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7892 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.8235 PR 0.5230 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8249 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.8010 PR 0.4990 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8036 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7887 PR 0.4833 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8060 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7710 PR 0.4714 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8117 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7634 PR 0.4655 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7462 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7571 PR 0.4682 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7987 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7441 PR 0.4379 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7484 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7449 PR 0.4380 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7167 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7420 PR 0.4393 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7326 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7509 PR 0.4519 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7464 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7470 PR 0.4431 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6788 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7497 PR 0.4472 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7646 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7535 PR 0.4569 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7310 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7593 PR 0.4586 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6814 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7702 PR 0.4739 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7310 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7665 PR 0.4721 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8108 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7805 PR 0.4889 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7620 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7797 PR 0.4770 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7921 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7890 PR 0.4948 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7596 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.7820 PR 0.4791 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8238 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8057 PR 0.5006 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7885 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8071 PR 0.5080 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8056 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8195 PR 0.5247 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8445 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8220 PR 0.5088 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8436 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8215 PR 0.5145 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8210 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8291 PR 0.5214 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8171 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8370 PR 0.5208 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8464 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.8421 PR 0.5228 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8484 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.8469 PR 0.5299 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8340 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.8502 PR 0.5111 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8557 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.8499 PR 0.5301 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8709 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.8548 PR 0.5251 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8246 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.8522 PR 0.5037 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8452 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.8553 PR 0.5119 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8411 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.8461 PR 0.4868 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8404 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.8397 PR 0.4501 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8035 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.8440 PR 0.4654 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7756 | tau+ 0.500
