# gpu=3 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset tfinance --seed 0 --method nsreg --tag E400_nsreg --epochs 400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] NSReg, rotations [np.int64(1)] of [np.int64(1)]
[tfinance] n_epochs=400 eval_every=1 input_dim=10 wd=0.0 lr=0.001
Normal classes: [0] in tfinance
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 99550  num train neg edges: 54716
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=8.4718, clf_loss=7.7403, lbl_loss=0.7315
Epoch  1 loss=5.7681, clf_loss=5.0369, lbl_loss=0.7312
Epoch  2 loss=7.6336, clf_loss=6.9123, lbl_loss=0.7213
Epoch  3 loss=9.6005, clf_loss=8.8898, lbl_loss=0.7107
Epoch  4 loss=8.5242, clf_loss=7.8168, lbl_loss=0.7074
Epoch  5 loss=9.5179, clf_loss=8.8158, lbl_loss=0.7021
Epoch  6 loss=8.4103, clf_loss=7.7106, lbl_loss=0.6997
Epoch  7 loss=6.3010, clf_loss=5.6085, lbl_loss=0.6925
Epoch  8 loss=5.4835, clf_loss=4.7970, lbl_loss=0.6865
Epoch  9 loss=5.1652, clf_loss=4.4697, lbl_loss=0.6954
Epoch 10 loss=3.6970, clf_loss=3.0116, lbl_loss=0.6854
Epoch 11 loss=2.3891, clf_loss=1.6982, lbl_loss=0.6909
Epoch 12 loss=3.1974, clf_loss=2.5110, lbl_loss=0.6864
Epoch 13 loss=1.6982, clf_loss=1.0036, lbl_loss=0.6946
Epoch 14 loss=1.8066, clf_loss=1.1136, lbl_loss=0.6930
Epoch 15 loss=1.7315, clf_loss=1.0541, lbl_loss=0.6775
Epoch 16 loss=1.8641, clf_loss=1.1985, lbl_loss=0.6656
Epoch 17 loss=1.6282, clf_loss=0.9188, lbl_loss=0.7094
Epoch 18 loss=1.3477, clf_loss=0.6742, lbl_loss=0.6735
Epoch 19 loss=1.2876, clf_loss=0.5935, lbl_loss=0.6941
Epoch 20 loss=1.6204, clf_loss=0.9415, lbl_loss=0.6789
Epoch 21 loss=1.1135, clf_loss=0.4058, lbl_loss=0.7077
