/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in tfinance
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.2912 PR 0.0313 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.2315 | tau+ 0.950
[OUTPOST-v4] epoch 1: test-all ROC 0.8055 PR 0.1615 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7816 | tau+ 0.950
[OUTPOST-v4] epoch 2: test-all ROC 0.8526 PR 0.5192 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8493 | tau+ 0.950
[OUTPOST-v4] epoch 3: test-all ROC 0.8410 PR 0.5126 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8073 | tau+ 0.950
[OUTPOST-v4] epoch 4: test-all ROC 0.8266 PR 0.5144 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8272 | tau+ 0.950
[OUTPOST-v4] epoch 5: test-all ROC 0.8138 PR 0.4950 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8024 | tau+ 0.950
[OUTPOST-v4] epoch 6: test-all ROC 0.8109 PR 0.4989 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8287 | tau+ 0.950
[OUTPOST-v4] epoch 7: test-all ROC 0.7944 PR 0.4817 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8030 | tau+ 0.950
[OUTPOST-v4] epoch 8: test-all ROC 0.7850 PR 0.4703 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8030 | tau+ 0.950
[OUTPOST-v4] epoch 9: test-all ROC 0.7872 PR 0.4761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7924 | tau+ 0.950
[OUTPOST-v4] epoch 10: test-all ROC 0.7764 PR 0.4568 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7880 | tau+ 0.950
