/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[tfinance] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in tfinance
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4699 PR 0.0440 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4667 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.4665 PR 0.0437 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4667 | tau+ 0.995
[OUTPOST-v4] epoch 2: test-all ROC 0.4265 PR 0.0405 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4333 | tau+ 0.995
[OUTPOST-v4] epoch 3: test-all ROC 0.2756 PR 0.0306 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.2378 | tau+ 0.995
[OUTPOST-v4] epoch 4: test-all ROC 0.6624 PR 0.0622 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7432 | tau+ 0.995
[OUTPOST-v4] epoch 5: test-all ROC 0.8614 PR 0.5283 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8349 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.8521 PR 0.5405 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8277 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.8339 PR 0.5334 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8132 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8165 PR 0.5173 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8256 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7976 PR 0.5089 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7700 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7870 PR 0.4932 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8700 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7707 PR 0.4777 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7609 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7588 PR 0.4601 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7776 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7560 PR 0.4664 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7295 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7445 PR 0.4426 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7468 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7379 PR 0.4368 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7659 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7294 PR 0.4296 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7324 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7243 PR 0.4232 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7138 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7167 PR 0.4141 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7312 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7100 PR 0.4028 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7326 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7090 PR 0.4004 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7129 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7091 PR 0.3967 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6823 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7076 PR 0.3977 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7493 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.7103 PR 0.4050 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7487 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.7035 PR 0.3901 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7324 | tau+ 0.500
