# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 2 --method outpost --tag C_sim --rotations 0 --set sim_topk_frac=1.0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(0)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7597 PR 0.5439 | unseen ROC 0.7269 PR 0.4240 | valAUC 0.9144 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7688 PR 0.5722 | unseen ROC 0.7360 PR 0.4493 | valAUC 0.9300 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7706 PR 0.5800 | unseen ROC 0.7377 PR 0.4568 | valAUC 0.9343 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7671 PR 0.5785 | unseen ROC 0.7336 PR 0.4554 | valAUC 0.9348 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7692 PR 0.5808 | unseen ROC 0.7359 PR 0.4583 | valAUC 0.9352 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7787 PR 0.5979 | unseen ROC 0.7465 PR 0.4812 | valAUC 0.9385 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7891 PR 0.6154 | unseen ROC 0.7582 PR 0.5046 | valAUC 0.9433 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7994 PR 0.6318 | unseen ROC 0.7697 PR 0.5258 | valAUC 0.9459 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8089 PR 0.6468 | unseen ROC 0.7803 PR 0.5447 | valAUC 0.9508 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8170 PR 0.6601 | unseen ROC 0.7895 PR 0.5614 | valAUC 0.9532 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8244 PR 0.6722 | unseen ROC 0.7978 PR 0.5765 | valAUC 0.9556 | tau+ 0.500
